Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,116.86,120.63,111.0,111.59,1108600,0.0,0.0
01/05/2020,107.12,110.0,103.03,104.96,999300,0.0,0.0
04/05/2020,103.38,107.38,101.19,107.14,899200,0.0,0.0
05/05/2020,112.28,113.85,107.42,107.86,1018300,0.0,0.0
06/05/2020,113.31,126.89,112.0,125.75,2718100,0.0,0.0
07/05/2020,109.25,116.88,105.0,109.74,3795700,0.0,0.0
08/05/2020,110.81,119.82,109.12,118.32,1471100,0.0,0.0
11/05/2020,116.0,123.2,114.56,122.94,1118000,0.0,0.0
12/05/2020,124.27,129.18,120.97,121.0,1354100,0.0,0.0
13/05/2020,121.77,123.47,113.73,117.73,1012700,0.0,0.0
14/05/2020,113.05,119.67,112.0,119.48,894500,0.0,0.0
15/05/2020,116.09,121.57,115.5,120.44,525800,0.0,0.0
18/05/2020,127.5,128.86,124.35,128.0,928700,0.0,0.0
19/05/2020,128.53,137.25,127.99,134.86,1744900,0.0,0.0
20/05/2020,139.37,141.45,134.51,137.25,1443300,0.0,0.0
21/05/2020,136.15,140.3,132.51,136.51,1261200,0.0,0.0
22/05/2020,136.7,137.5,129.87,130.39,638700,0.0,0.0
26/05/2020,135.5,138.76,134.53,136.54,881800,0.0,0.0
27/05/2020,137.79,138.07,127.22,137.24,755500,0.0,0.0
28/05/2020,136.08,143.29,132.79,135.29,746800,0.0,0.0
29/05/2020,134.76,142.38,133.25,141.9,1010200,0.0,0.0
01/06/2020,138.71,151.49,138.51,150.7,1198700,0.0,0.0
02/06/2020,150.25,152.93,145.0,148.97,863600,0.0,0.0
03/06/2020,150.25,151.86,146.5,150.59,1036000,0.0,0.0
04/06/2020,149.09,149.57,141.05,142.4,1159500,0.0,0.0
05/06/2020,146.88,151.65,143.32,148.28,1343200,0.0,0.0
08/06/2020,150.04,151.68,146.52,150.89,695400,0.0,0.0
09/06/2020,149.1,150.91,145.8,148.84,572400,0.0,0.0
10/06/2020,150.05,150.48,144.0,147.37,737700,0.0,0.0
11/06/2020,139.66,144.47,136.82,138.69,1138500,0.0,0.0
12/06/2020,145.07,147.45,138.7,142.05,788500,0.0,0.0
15/06/2020,135.23,148.84,135.22,148.2,744800,0.0,0.0
16/06/2020,151.64,156.92,149.73,153.1,1030200,0.0,0.0
17/06/2020,154.0,154.75,143.83,145.27,1587600,0.0,0.0
18/06/2020,146.03,151.54,145.82,151.0,831800,0.0,0.0
19/06/2020,152.27,156.24,151.31,153.6,1148400,0.0,0.0
22/06/2020,153.87,155.24,147.9,152.98,899100,0.0,0.0
23/06/2020,155.25,155.89,150.7,151.34,637500,0.0,0.0
24/06/2020,150.0,153.33,145.84,148.48,871800,0.0,0.0
25/06/2020,144.3,144.74,134.07,137.18,1748300,0.0,0.0
26/06/2020,138.45,138.79,127.19,129.53,4649900,0.0,0.0
29/06/2020,129.97,137.73,129.93,137.06,1182700,0.0,0.0
30/06/2020,136.39,139.28,136.01,138.78,805100,0.0,0.0
01/07/2020,139.25,142.49,135.96,141.39,802700,0.0,0.0
02/07/2020,143.81,144.75,140.19,143.11,740800,0.0,0.0
06/07/2020,146.0,149.07,144.84,148.88,1096400,0.0,0.0
07/07/2020,148.56,151.32,146.33,146.57,854200,0.0,0.0
08/07/2020,148.53,158.0,147.29,157.92,1342500,0.0,0.0
09/07/2020,159.0,159.55,150.7,157.17,793100,0.0,0.0
10/07/2020,157.03,159.7,154.06,159.44,628100,0.0,0.0
13/07/2020,160.85,167.43,154.29,154.68,1174200,0.0,0.0
14/07/2020,153.47,168.62,151.75,168.2,1094500,0.0,0.0
15/07/2020,170.64,175.14,168.12,174.85,1127200,0.0,0.0
16/07/2020,169.3,171.69,163.19,164.75,1160700,0.0,0.0
17/07/2020,166.96,172.65,165.0,171.58,930800,0.0,0.0
20/07/2020,171.29,177.22,171.07,176.3,999900,0.0,0.0
21/07/2020,177.5,178.3,168.3,170.38,1179900,0.0,0.0
22/07/2020,171.62,178.09,170.22,175.65,1287600,0.0,0.0
23/07/2020,175.01,181.8,172.01,176.29,997400,0.0,0.0
24/07/2020,172.26,173.69,164.12,171.6,1001900,0.0,0.0
27/07/2020,175.66,180.99,174.01,180.74,1098000,0.0,0.0
28/07/2020,178.5,178.71,169.7,170.54,991300,0.0,0.0
29/07/2020,173.01,179.9,171.88,176.76,781100,0.0,0.0
30/07/2020,173.83,176.61,172.52,175.26,428900,0.0,0.0
31/07/2020,177.15,177.85,173.24,175.1,640500,0.0,0.0
03/08/2020,172.66,174.48,162.6,173.56,1274300,0.0,0.0
04/08/2020,187.8,209.39,187.34,196.15,3438800,0.0,0.0
05/08/2020,199.71,221.25,195.01,216.06,2017600,0.0,0.0
06/08/2020,214.2,217.59,201.0,206.32,1960100,0.0,0.0
07/08/2020,204.8,215.35,204.8,211.47,999300,0.0,0.0
10/08/2020,212.5,218.98,206.54,211.5,690400,0.0,0.0
