Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,16.35,16.35,15.01,15.9,89200,0.0,0.0
01/05/2020,15.85,15.85,15.05,15.23,55300,0.0,0.0
04/05/2020,15.25,15.25,14.16,14.36,57600,0.0,0.0
05/05/2020,14.79,15.49,14.2,14.57,94800,0.0,0.0
06/05/2020,14.99,14.99,13.27,13.4,114900,0.0,0.0
07/05/2020,13.5,14.04,13.25,13.38,187300,0.0,0.0
08/05/2020,13.9,14.22,13.5,14.0,181600,0.0,0.0
11/05/2020,14.33,14.33,13.5,13.73,102600,0.0,0.0
12/05/2020,13.73,15.98,13.3,14.83,519300,0.0,0.0
13/05/2020,15.23,15.53,14.0,14.21,298300,0.0,0.0
14/05/2020,14.46,14.73,13.69,14.44,158800,0.0,0.0
15/05/2020,14.57,14.7,14.0,14.25,175000,0.0,0.0
18/05/2020,14.87,15.43,14.35,14.59,187700,0.0,0.0
19/05/2020,14.88,15.07,14.5,14.56,130800,0.0,0.0
20/05/2020,14.91,15.46,14.79,14.87,139700,0.0,0.0
21/05/2020,15.09,15.26,14.64,14.79,102400,0.0,0.0
22/05/2020,15.03,15.18,14.72,15.06,136500,0.0,0.0
26/05/2020,15.5,15.5,14.66,14.8,134100,0.0,0.0
27/05/2020,15.2,15.2,14.5,14.73,77300,0.0,0.0
28/05/2020,14.75,14.92,14.43,14.52,120200,0.0,0.0
29/05/2020,14.64,14.78,14.26,14.59,140100,0.0,0.0
01/06/2020,14.69,14.83,13.75,13.87,86300,0.0,0.0
02/06/2020,14.0,14.8,13.99,14.66,134200,0.0,0.0
03/06/2020,14.93,15.0,14.5,14.66,121800,0.0,0.0
04/06/2020,14.65,15.0,14.55,14.75,141800,0.0,0.0
05/06/2020,14.86,14.95,14.52,14.94,205200,0.0,0.0
08/06/2020,15.0,15.1,14.56,14.82,267800,0.0,0.0
09/06/2020,14.81,14.95,14.15,14.85,152300,0.0,0.0
10/06/2020,15.05,15.05,14.26,14.39,115700,0.0,0.0
11/06/2020,14.0,14.35,13.51,13.66,127000,0.0,0.0
12/06/2020,14.05,14.74,13.55,13.92,124000,0.0,0.0
15/06/2020,13.56,14.7,13.44,14.34,142700,0.0,0.0
16/06/2020,14.89,14.9,14.2,14.74,134200,0.0,0.0
17/06/2020,14.89,14.89,14.44,14.71,128300,0.0,0.0
18/06/2020,14.59,14.86,14.44,14.8,164100,0.0,0.0
19/06/2020,14.8,14.82,14.6,14.69,136300,0.0,0.0
22/06/2020,14.75,14.83,14.59,14.76,155800,0.0,0.0
23/06/2020,14.89,14.89,14.59,14.75,180000,0.0,0.0
24/06/2020,14.49,14.51,13.65,14.17,150200,0.0,0.0
25/06/2020,14.09,14.81,13.97,14.46,124100,0.0,0.0
26/06/2020,14.18,14.21,13.12,13.25,1323200,0.0,0.0
29/06/2020,13.32,14.0,13.16,13.8,110500,0.0,0.0
30/06/2020,13.93,14.1,13.8,14.0,141200,0.0,0.0
01/07/2020,14.01,14.07,13.53,13.59,85400,0.0,0.0
02/07/2020,13.9,14.05,13.32,13.5,100400,0.0,0.0
06/07/2020,13.69,13.94,13.15,13.35,75000,0.0,0.0
07/07/2020,13.18,13.3,12.84,12.89,86800,0.0,0.0
08/07/2020,12.81,13.12,12.56,13.0,81400,0.0,0.0
09/07/2020,12.95,12.95,12.05,12.36,89600,0.0,0.0
10/07/2020,12.35,13.4,12.35,13.16,62800,0.0,0.0
13/07/2020,13.43,13.63,13.11,13.3,96700,0.0,0.0
14/07/2020,13.3,13.49,13.01,13.33,53100,0.0,0.0
15/07/2020,13.7,14.03,13.52,13.94,96900,0.0,0.0
16/07/2020,13.82,13.89,13.41,13.79,70600,0.0,0.0
17/07/2020,13.57,13.62,13.2,13.43,55300,0.0,0.0
20/07/2020,13.43,13.43,13.13,13.33,49400,0.0,0.0
21/07/2020,13.44,14.01,13.44,13.83,96100,0.0,0.0
22/07/2020,13.76,13.83,13.18,13.79,80200,0.0,0.0
23/07/2020,13.63,14.05,13.6,14.0,91600,0.0,0.0
24/07/2020,14.04,14.04,13.9,13.9,43100,0.0,0.0
27/07/2020,14.23,14.72,14.01,14.15,258500,0.0,0.0
28/07/2020,14.34,14.64,14.0,14.11,829700,0.0,0.0
29/07/2020,14.3,14.49,14.03,14.44,211400,0.0,0.0
30/07/2020,14.16,14.42,14.15,14.34,133200,0.0,0.0
31/07/2020,14.15,14.32,13.6,13.67,365400,0.0,0.0
03/08/2020,14.02,14.08,13.81,13.95,109500,0.0,0.0
04/08/2020,14.06,14.07,13.57,13.81,65800,0.0,0.0
05/08/2020,14.0,14.19,13.83,14.09,218800,0.0,0.0
06/08/2020,14.1,14.55,14.07,14.15,258300,0.0,0.0
07/08/2020,14.15,14.7,14.06,14.58,146000,0.0,0.0
10/08/2020,14.74,14.78,13.96,14.07,142800,0.0,0.0
11/08/2020,14.36,14.79,14.26,14.3,88100,0.0,0.0
12/08/2020,14.57,14.85,14.47,14.72,124000,0.0,0.0
13/08/2020,14.72,14.84,14.32,14.56,96200,0.0,0.0
14/08/2020,14.66,15.05,14.49,14.85,110000,0.0,0.0
17/08/2020,14.85,15.05,14.71,14.99,167400,0.0,0.0
18/08/2020,15.05,15.05,14.55,14.71,76700,0.0,0.0
19/08/2020,14.8,15.17,14.72,15.01,245200,0.0,0.0
20/08/2020,14.78,15.05,14.59,14.98,125800,0.0,0.0
21/08/2020,14.94,14.96,14.29,14.78,128400,0.0,0.0
24/08/2020,14.81,14.92,14.53,14.87,80500,0.0,0.0
25/08/2020,14.99,15.05,14.86,14.98,183300,0.0,0.0
