Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,279.46,285.09,278.72,282.94,1916400,0.0,0.0
01/05/2020,277.91,279.22,274.45,276.35,1152000,0.0,0.0
04/05/2020,273.69,278.35,271.53,276.07,1187800,0.0,0.0
05/05/2020,279.79,288.43,278.55,285.39,1049700,0.0,0.0
06/05/2020,284.82,287.35,279.12,279.54,881000,0.0,0.0
07/05/2020,284.56,287.67,282.98,285.55,1282600,0.0,0.0
08/05/2020,289.82,289.82,285.74,287.55,852000,0.0,0.0
11/05/2020,284.06,292.99,282.72,290.48,1206000,0.0,0.0
12/05/2020,294.61,296.75,289.06,289.06,1303600,0.0,0.0
13/05/2020,287.64,292.22,282.08,284.41,1642500,0.0,0.0
14/05/2020,281.52,290.07,280.24,289.94,1253700,0.0,0.0
15/05/2020,288.27,294.29,287.24,292.85,1960800,0.0,0.0
18/05/2020,300.5,305.53,300.08,301.06,1773000,0.0,0.0
19/05/2020,301.18,306.52,300.13,300.54,1237700,0.0,0.0
20/05/2020,304.66,306.31,301.78,303.35,801200,0.0,0.0
21/05/2020,303.63,306.06,298.74,300.22,725200,0.0,0.0
22/05/2020,300.39,302.02,297.09,301.28,621500,0.0,0.0
26/05/2020,308.12,308.73,301.29,302.39,1695300,0.67,0.0
27/05/2020,306.8,306.8,298.33,305.38,1182900,0.0,0.0
28/05/2020,307.65,313.22,304.77,308.65,1928600,0.0,0.0
29/05/2020,310.41,315.62,308.22,314.67,1935800,0.0,0.0
01/06/2020,315.67,319.07,313.07,316.88,892300,0.0,0.0
02/06/2020,315.44,317.38,313.01,316.94,1280200,0.0,0.0
03/06/2020,319.61,323.98,316.22,322.76,1058900,0.0,0.0
04/06/2020,320.55,322.98,314.01,316.96,1209100,0.0,0.0
05/06/2020,321.89,324.0,319.13,322.75,1522200,0.0,0.0
08/06/2020,320.34,322.47,315.51,321.41,1116800,0.0,0.0
09/06/2020,318.75,320.32,316.27,317.18,966600,0.0,0.0
10/06/2020,318.5,323.45,315.73,320.63,1136400,0.0,0.0
11/06/2020,314.65,315.79,296.74,297.25,1663500,0.0,0.0
12/06/2020,304.4,308.08,300.13,306.82,1168700,0.0,0.0
15/06/2020,300.13,310.68,298.3,309.47,998000,0.0,0.0
16/06/2020,319.49,319.49,308.9,314.58,912800,0.0,0.0
17/06/2020,316.22,319.08,314.79,315.93,896700,0.0,0.0
18/06/2020,314.2,317.33,313.02,316.4,726300,0.0,0.0
19/06/2020,321.69,322.39,311.05,313.42,1932700,0.0,0.0
22/06/2020,313.4,316.52,310.55,315.97,1330400,0.0,0.0
23/06/2020,319.05,321.95,316.6,318.1,890000,0.0,0.0
24/06/2020,314.21,316.04,306.32,307.84,1298200,0.0,0.0
25/06/2020,308.24,317.8,305.94,317.38,1051900,0.0,0.0
26/06/2020,314.55,317.49,310.91,311.36,2563800,0.0,0.0
29/06/2020,314.79,314.79,308.1,311.06,1298200,0.0,0.0
30/06/2020,311.37,320.05,310.21,318.99,1823400,0.0,0.0
01/07/2020,319.9,325.42,318.22,323.87,963200,0.0,0.0
02/07/2020,327.57,328.48,322.01,322.64,707900,0.0,0.0
06/07/2020,327.82,333.09,326.85,330.16,1296500,0.0,0.0
07/07/2020,328.58,334.61,328.58,330.32,836800,0.0,0.0
08/07/2020,334.39,343.45,334.39,343.04,1121200,0.0,0.0
09/07/2020,342.67,345.43,338.31,341.49,1126400,0.0,0.0
10/07/2020,341.78,343.05,337.43,340.61,821000,0.0,0.0
13/07/2020,341.78,345.11,333.29,335.07,919700,0.0,0.0
14/07/2020,333.94,340.61,332.9,340.44,724500,0.0,0.0
15/07/2020,345.7,345.7,339.08,343.5,613100,0.0,0.0
16/07/2020,341.83,343.36,335.8,338.38,624600,0.0,0.0
17/07/2020,340.28,343.78,338.48,343.39,577800,0.0,0.0
20/07/2020,341.37,347.87,341.37,346.69,597700,0.0,0.0
21/07/2020,347.57,348.05,342.01,343.53,611400,0.0,0.0
22/07/2020,342.61,346.83,342.38,345.1,634700,0.0,0.0
23/07/2020,343.68,346.25,335.19,337.17,1383300,0.0,0.0
24/07/2020,336.3,341.09,334.45,338.82,860900,0.0,0.0
27/07/2020,338.98,344.19,338.26,340.13,1057800,0.0,0.0
28/07/2020,345.21,345.21,332.68,336.53,1185300,0.0,0.0
29/07/2020,337.14,348.53,337.14,348.4,1036300,0.0,0.0
30/07/2020,343.07,345.27,337.56,341.15,1122600,0.0,0.0
31/07/2020,342.4,343.44,333.74,339.09,1126800,0.0,0.0
03/08/2020,341.52,343.96,338.41,339.51,673300,0.0,0.0
04/08/2020,337.4,339.72,331.23,334.76,1116300,0.0,0.0
05/08/2020,335.97,338.8,334.64,336.33,712200,0.0,0.0
06/08/2020,336.08,341.5,335.32,341.34,623300,0.0,0.0
07/08/2020,338.85,340.3,330.78,336.21,828000,0.0,0.0
10/08/2020,334.01,334.31,329.64,333.11,552700,0.0,0.0
