Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,53.28,55.06,50.74,53.56,8992000,0.0,0.0
01/05/2020,50.94,51.86,48.6,50.7,6430000,0.0,0.0
04/05/2020,48.45,50.94,47.65,50.54,3763600,0.0,0.0
05/05/2020,52.09,53.17,48.2,48.57,5189500,0.0,0.0
06/05/2020,48.68,49.62,44.32,44.71,7686400,0.0,0.0
07/05/2020,44.85,47.15,44.33,45.72,6753600,0.0,0.0
08/05/2020,47.04,48.53,46.37,46.54,8335500,0.0,0.0
11/05/2020,46.2,46.26,44.05,44.18,9361400,0.0,0.0
12/05/2020,48.4,48.56,43.72,43.75,16602200,0.0,0.0
13/05/2020,42.67,43.72,39.48,41.05,13982300,0.0,0.0
14/05/2020,40.11,42.91,37.9,41.35,10654900,0.0,0.0
15/05/2020,40.47,41.82,39.61,41.17,7579200,0.0,0.0
18/05/2020,44.0,46.29,43.94,45.65,9214700,0.0,0.0
19/05/2020,45.93,47.26,43.44,45.62,7025000,0.0,0.0
20/05/2020,47.0,47.62,44.09,44.66,7010000,0.0,0.0
21/05/2020,44.57,45.97,43.8,44.92,6061100,0.0,0.0
22/05/2020,45.1,45.24,43.22,43.79,5301500,0.0,0.0
26/05/2020,46.52,47.74,45.64,47.53,10442100,0.0,0.0
27/05/2020,50.17,50.78,47.67,50.69,9220000,0.0,0.0
28/05/2020,51.06,51.17,47.21,47.93,7862000,0.0,0.0
29/05/2020,46.27,47.63,45.21,46.28,8489700,0.0,0.0
01/06/2020,45.97,49.57,45.61,49.41,6494900,0.0,0.0
02/06/2020,50.53,51.73,50.09,50.9,7797600,0.0,0.0
03/06/2020,52.7,59.99,52.54,58.46,17321700,0.0,0.0
04/06/2020,60.26,62.45,55.86,61.55,17516800,0.0,0.0
05/06/2020,66.89,74.57,66.87,71.07,23237100,0.0,0.0
08/06/2020,76.11,76.65,71.5,76.6,15401100,0.0,0.0
09/06/2020,70.59,72.45,67.17,69.36,12537800,0.0,0.0
10/06/2020,70.24,70.24,62.57,66.59,15585400,0.0,0.0
11/06/2020,57.51,63.09,56.47,57.69,13082500,0.0,0.0
12/06/2020,62.37,62.73,58.41,60.95,10647500,0.0,0.0
15/06/2020,57.65,60.85,56.81,59.67,9850000,0.0,0.0
16/06/2020,64.93,65.21,59.83,60.58,11006200,0.0,0.0
17/06/2020,60.41,60.44,57.36,57.49,8312400,0.0,0.0
18/06/2020,56.16,58.12,55.01,56.92,8103300,0.0,0.0
19/06/2020,58.16,58.16,53.74,53.84,13314800,0.0,0.0
22/06/2020,53.22,55.22,52.21,54.99,6269600,0.0,0.0
23/06/2020,55.66,57.84,55.65,56.25,6921700,0.0,0.0
24/06/2020,54.49,54.68,50.26,52.23,10487700,0.0,0.0
