Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,43.62,43.82,42.79,42.92,2676500,0.0,0.0
01/05/2020,41.72,42.24,40.5,40.99,3282600,0.0,0.0
04/05/2020,40.61,40.9,39.65,39.9,2532100,0.0,0.0
05/05/2020,40.38,40.99,40.12,40.17,1782500,0.0,0.0
06/05/2020,40.68,40.99,40.06,40.83,2337900,0.0,0.0
07/05/2020,41.38,41.94,41.18,41.86,2570900,0.0,0.0
08/05/2020,42.59,44.0,42.4,43.87,2702500,0.0,0.0
11/05/2020,43.33,43.39,42.64,42.84,1449100,0.0,0.0
12/05/2020,43.01,43.26,41.76,41.78,1656300,0.0,0.0
13/05/2020,41.9,41.9,40.29,40.75,1767800,0.0,0.0
14/05/2020,40.21,41.3,39.6,41.3,1775500,0.0,0.0
15/05/2020,40.54,41.08,40.22,41.05,1811000,0.0,0.0
18/05/2020,42.25,42.7,41.94,42.43,1598800,0.0,0.0
19/05/2020,42.58,43.85,42.37,43.11,2078200,0.0,0.0
20/05/2020,43.67,45.1,43.62,44.55,2601200,0.0,0.0
21/05/2020,44.49,45.11,43.95,44.05,2195600,0.0,0.0
22/05/2020,43.96,44.14,43.01,43.79,1520400,0.0,0.0
26/05/2020,45.07,45.32,43.88,43.99,1820100,0.0,0.0
27/05/2020,44.31,44.83,43.1,44.69,2219900,0.0,0.0
28/05/2020,44.97,45.06,44.05,44.13,1801100,0.0,0.0
29/05/2020,43.93,45.85,43.93,45.57,4214000,0.0,0.0
01/06/2020,45.22,45.53,44.72,44.81,2471100,0.0,0.0
02/06/2020,44.65,45.3,43.97,45.27,2571200,0.0,0.0
03/06/2020,45.37,46.07,44.9,45.64,2323300,0.0,0.0
04/06/2020,45.44,46.93,45.36,46.44,2592300,0.0,0.0
05/06/2020,47.26,47.9,46.56,46.73,2863700,0.0,0.0
08/06/2020,47.16,47.94,46.84,47.8,2929700,0.0,0.0
09/06/2020,47.16,47.36,46.49,47.11,2016200,0.0,0.0
