Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,101.71,101.82,99.7,100.48,4769600,0.0,0.0
01/05/2020,99.67,100.24,97.15,99.1,4590500,0.0,0.0
04/05/2020,98.73,102.58,98.55,102.29,4578300,0.0,0.0
05/05/2020,102.28,103.81,101.15,102.33,4201100,0.0,0.0
06/05/2020,103.37,105.87,103.06,104.0,4913900,0.0,0.0
07/05/2020,105.08,105.56,103.56,103.8,3689800,0.0,0.0
08/05/2020,105.03,106.97,104.49,106.06,4266900,0.0,0.0
11/05/2020,106.96,110.55,106.15,110.04,5996300,0.0,0.0
12/05/2020,110.79,112.58,109.32,109.32,4897000,0.0,0.0
13/05/2020,109.37,110.45,108.17,109.09,4677900,0.0,0.0
14/05/2020,107.99,110.64,107.24,109.82,5635600,0.0,0.0
15/05/2020,110.2,112.3,109.69,110.74,8354200,0.0,0.0
18/05/2020,112.86,114.96,112.41,114.64,6320900,0.0,0.0
19/05/2020,115.16,115.95,113.01,113.38,7914900,0.66,0.0
20/05/2020,114.22,114.98,109.8,110.12,12897000,0.0,0.0
21/05/2020,110.12,110.8,108.29,109.24,7620700,0.0,0.0
22/05/2020,109.38,109.87,107.86,108.15,4902900,0.0,0.0
26/05/2020,109.35,110.42,105.68,105.97,7274600,0.0,0.0
27/05/2020,106.44,108.11,105.15,108.07,8260300,0.0,0.0
28/05/2020,108.58,110.68,108.12,109.01,6137300,0.0,0.0
29/05/2020,109.3,113.02,108.76,112.6,8705900,0.0,0.0
01/06/2020,110.87,111.14,109.37,109.99,6020100,0.0,0.0
02/06/2020,110.15,111.18,108.79,109.4,5144600,0.0,0.0
03/06/2020,109.67,112.58,108.89,112.05,5815800,0.0,0.0
04/06/2020,112.19,112.98,110.04,110.42,3963600,0.0,0.0
05/06/2020,111.76,112.77,110.16,111.87,4578800,0.0,0.0
08/06/2020,111.2,112.72,110.99,112.64,3578400,0.0,0.0
09/06/2020,112.8,112.97,110.73,111.12,2923500,0.0,0.0
10/06/2020,111.15,112.47,110.26,110.46,3653700,0.0,0.0
11/06/2020,109.14,111.32,108.41,108.63,5005100,0.0,0.0
12/06/2020,110.07,110.23,105.68,107.6,4953400,0.0,0.0
15/06/2020,106.28,109.25,106.07,108.76,4593800,0.0,0.0
16/06/2020,110.86,111.68,107.9,109.73,5138000,0.0,0.0
17/06/2020,109.97,109.97,108.41,108.87,3808600,0.0,0.0
18/06/2020,108.84,108.86,107.58,107.97,3261100,0.0,0.0
19/06/2020,110.64,113.16,109.75,110.97,12611200,0.0,0.0
22/06/2020,110.92,113.32,109.63,112.7,4671200,0.0,0.0
23/06/2020,113.25,114.54,111.62,111.84,4307000,0.0,0.0
24/06/2020,111.54,112.29,109.2,110.2,4181600,0.0,0.0
25/06/2020,109.9,110.41,108.88,110.28,2759500,0.0,0.0
26/06/2020,110.46,111.06,107.47,107.72,6670800,0.0,0.0
29/06/2020,108.15,109.8,107.49,109.14,3258900,0.0,0.0
30/06/2020,109.43,110.86,108.87,110.39,3633900,0.0,0.0
01/07/2020,110.38,110.79,109.38,109.5,2836400,0.0,0.0
02/07/2020,110.44,111.0,109.44,109.65,2216100,0.0,0.0
06/07/2020,110.47,110.69,108.6,109.76,3766400,0.0,0.0
07/07/2020,108.89,110.04,108.44,108.67,3908300,0.0,0.0
08/07/2020,108.76,109.08,107.45,108.34,2845100,0.0,0.0
09/07/2020,108.12,109.82,107.82,108.53,2861000,0.0,0.0
10/07/2020,108.45,109.52,107.75,109.41,2033500,0.0,0.0
13/07/2020,109.89,112.08,108.97,109.29,3469700,0.0,0.0
14/07/2020,109.3,110.61,108.08,110.53,2578200,0.0,0.0
15/07/2020,111.66,112.96,110.47,112.0,3533900,0.0,0.0
16/07/2020,111.62,113.21,111.51,112.25,3109900,0.0,0.0
17/07/2020,112.89,113.41,111.79,112.0,2715500,0.0,0.0
20/07/2020,111.88,112.18,109.57,110.29,3825900,0.0,0.0
21/07/2020,110.78,111.37,110.48,110.64,3195400,0.0,0.0
22/07/2020,110.73,113.39,110.46,113.35,3876600,0.0,0.0
23/07/2020,113.63,113.77,112.24,112.62,3267500,0.0,0.0
24/07/2020,112.8,115.55,112.35,113.87,3832900,0.0,0.0
27/07/2020,114.37,114.59,112.45,112.93,2423400,0.0,0.0
28/07/2020,112.86,114.56,112.41,113.49,2337000,0.0,0.0
29/07/2020,113.65,114.58,113.13,113.85,2095800,0.0,0.0
30/07/2020,112.6,115.45,112.13,114.67,3606300,0.0,0.0
31/07/2020,114.4,115.92,113.95,115.87,3267100,0.0,0.0
03/08/2020,116.44,118.04,116.21,117.68,3319200,0.0,0.0
04/08/2020,117.76,120.37,117.44,120.08,3924500,0.0,0.0
05/08/2020,120.35,121.44,118.43,119.08,3688800,0.0,0.0
06/08/2020,119.2,119.6,117.94,118.75,1979900,0.0,0.0
07/08/2020,118.96,121.39,118.74,121.27,2303100,0.0,0.0
10/08/2020,121.57,123.45,120.81,122.37,3002900,0.0,0.0
11/08/2020,123.08,123.89,120.91,121.25,3915900,0.0,0.0
12/08/2020,124.37,124.37,122.21,123.9,4860900,0.0,0.0
13/08/2020,123.34,124.21,122.99,124.09,2324800,0.0,0.0
14/08/2020,125.11,126.11,124.47,125.67,3180900,0.0,0.0
17/08/2020,127.01,127.66,126.47,127.25,4632300,0.0,0.0
18/08/2020,126.74,127.63,124.57,126.64,5756800,0.68,0.0
19/08/2020,137.37,143.09,135.55,142.66,40211800,0.0,0.0
20/08/2020,143.32,144.4,140.35,140.83,12046000,0.0,0.0
21/08/2020,140.91,143.94,140.73,142.11,7061400,0.0,0.0
24/08/2020,142.92,143.03,141.19,141.75,4355300,0.0,0.0
25/08/2020,142.59,142.71,140.94,141.39,2984400,0.0,0.0
26/08/2020,141.3,142.06,140.69,141.26,3061600,0.0,0.0
27/08/2020,141.22,141.3,138.45,139.04,3773100,0.0,0.0
28/08/2020,139.04,140.3,138.39,139.54,2835600,0.0,0.0
31/08/2020,139.81,140.52,139.05,139.87,3025600,0.0,0.0
01/09/2020,139.32,140.39,138.87,139.26,3603500,0.0,0.0
02/09/2020,139.22,139.56,137.29,138.61,4128200,0.0,0.0
03/09/2020,138.27,138.74,134.51,135.08,4135300,0.0,0.0
04/09/2020,135.69,137.41,132.92,136.19,4742100,0.0,0.0
08/09/2020,135.68,135.79,132.63,133.21,3503200,0.0,0.0
09/09/2020,133.91,137.46,133.91,136.49,3279300,0.0,0.0
10/09/2020,136.54,137.22,134.42,135.09,2828100,0.0,0.0
11/09/2020,135.85,136.87,135.22,136.58,2356400,0.0,0.0
14/09/2020,137.41,139.12,136.76,137.31,2706900,0.0,0.0
15/09/2020,137.01,138.61,136.31,137.9,2206200,0.0,0.0
16/09/2020,138.14,138.51,136.82,136.9,2072500,0.0,0.0
17/09/2020,136.34,137.62,135.56,136.54,2391200,0.0,0.0
18/09/2020,136.65,138.31,136.22,137.66,3614800,0.0,0.0
21/09/2020,137.54,138.75,135.47,138.63,3360000,0.0,0.0
22/09/2020,139.82,142.86,139.62,142.53,4334500,0.0,0.0
23/09/2020,142.34,143.57,139.1,139.69,2801300,0.0,0.0
24/09/2020,140.25,142.05,138.85,140.61,3223100,0.0,0.0
25/09/2020,140.48,143.53,140.37,142.78,2743300,0.0,0.0
28/09/2020,143.33,145.89,143.06,144.73,3627600,0.0,0.0
29/09/2020,145.0,146.55,144.19,145.18,2784200,0.0,0.0
30/09/2020,145.65,147.22,144.77,145.62,2806000,0.0,0.0
01/10/2020,146.54,148.83,146.25,146.71,3866000,0.0,0.0
02/10/2020,145.2,148.0,144.45,147.17,1978700,0.0,0.0
05/10/2020,148.0,150.14,148.0,149.38,2268600,0.0,0.0
06/10/2020,149.37,149.84,145.8,146.54,2932600,0.0,0.0
07/10/2020,148.06,149.5,147.65,148.63,2927000,0.0,0.0
08/10/2020,150.41,151.08,149.29,149.73,2189200,0.0,0.0
09/10/2020,150.04,152.46,149.95,151.44,2582700,0.0,0.0
12/10/2020,151.98,153.08,151.35,152.23,2436300,0.0,0.0
13/10/2020,152.23,154.19,151.84,153.22,2015200,0.0,0.0
14/10/2020,153.54,153.7,150.41,151.68,2284700,0.0,0.0
15/10/2020,149.71,153.06,149.04,153.06,1859000,0.0,0.0
16/10/2020,153.47,154.71,152.04,152.56,5047900,0.0,0.0
19/10/2020,153.75,154.44,151.54,151.75,2322500,0.0,0.0
20/10/2020,152.58,154.87,151.54,152.51,2698500,0.0,0.0
21/10/2020,153.32,153.74,150.73,151.05,3033500,0.0,0.0
22/10/2020,150.85,151.13,147.4,147.64,3647400,0.0,0.0
23/10/2020,148.37,148.37,146.91,148.22,1816800,0.0,0.0
26/10/2020,146.93,147.44,144.58,146.13,2310600,0.0,0.0
27/10/2020,146.22,146.97,144.93,145.26,2406100,0.0,0.0
28/10/2020,143.3,145.48,142.56,143.57,2655700,0.0,0.0
29/10/2020,143.6,144.39,141.87,142.69,2157700,0.0,0.0
30/10/2020,141.83,142.59,139.5,140.81,3694100,0.0,0.0
02/11/2020,142.46,143.49,141.35,142.82,2674300,0.0,0.0
03/11/2020,144.6,146.81,143.78,144.98,2545400,0.0,0.0
04/11/2020,145.43,147.53,143.61,144.88,3156600,0.0,0.0
05/11/2020,147.77,147.89,144.81,146.74,3114900,0.0,0.0
06/11/2020,146.76,149.76,146.65,149.39,3498000,0.0,0.0
09/11/2020,150.92,150.93,143.15,143.3,5092800,0.0,0.0
10/11/2020,145.27,147.14,144.82,146.22,3577900,0.0,0.0
11/11/2020,147.5,150.38,146.85,147.72,3336500,0.0,0.0
12/11/2020,147.7,148.92,146.75,147.57,2708500,0.0,0.0
13/11/2020,148.92,151.2,148.56,150.67,2765800,0.0,0.0
16/11/2020,152.63,153.55,151.1,152.8,5035600,0.0,0.0
17/11/2020,152.33,152.99,149.09,151.44,6299900,0.68,0.0
18/11/2020,154.14,159.88,152.84,154.98,13092300,0.0,0.0
19/11/2020,156.71,161.1,155.96,159.18,6834900,0.0,0.0
20/11/2020,159.97,162.0,159.25,160.05,6652900,0.0,0.0
23/11/2020,161.85,166.28,161.24,164.93,5755700,0.0,0.0
24/11/2020,166.97,167.05,164.5,165.21,4688400,0.0,0.0
25/11/2020,165.09,167.64,164.73,167.03,3780700,0.0,0.0
27/11/2020,167.95,168.23,166.22,166.98,2371900,0.0,0.0
30/11/2020,165.57,167.26,163.7,166.76,8010000,0.0,0.0
01/12/2020,167.02,168.28,164.5,166.31,5034900,0.0,0.0
02/12/2020,165.36,165.53,162.99,163.86,3109300,0.0,0.0
03/12/2020,163.92,163.92,161.42,162.48,4214600,0.0,0.0
04/12/2020,161.97,162.7,160.91,162.58,2935700,0.0,0.0
07/12/2020,161.87,162.5,159.22,160.61,3430800,0.0,0.0
08/12/2020,160.23,161.42,159.52,160.43,2682200,0.0,0.0
09/12/2020,161.02,162.48,160.14,161.69,2853800,0.0,0.0
10/12/2020,161.24,161.84,159.83,160.14,2643700,0.0,0.0
11/12/2020,159.3,160.46,158.9,159.49,2676500,0.0,0.0
14/12/2020,160.66,160.66,158.06,158.83,4016400,0.0,0.0
15/12/2020,158.51,160.49,158.51,159.22,3487900,0.0,0.0
