Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,17.42,17.45,17.02,17.13,53955516,0.0,0.0
01/05/2020,17.29,17.3,16.72,16.8,48791121,0.0,0.0
04/05/2020,16.72,16.72,16.42,16.64,46557268,0.0,0.0
05/05/2020,16.71,16.96,16.7,16.71,32604956,0.0,0.0
06/05/2020,16.76,16.79,16.18,16.18,59704721,0.0,0.0
07/05/2020,16.39,16.41,16.2,16.24,42122133,0.0,0.0
08/05/2020,16.46,16.78,16.42,16.74,31824326,0.0,0.0
11/05/2020,16.66,16.66,16.38,16.51,38691782,0.0,0.0
12/05/2020,16.59,16.68,16.24,16.24,46632472,0.0,0.0
13/05/2020,16.19,16.25,15.74,15.79,65226860,0.0,0.0
14/05/2020,15.73,16.07,15.52,16.06,52730948,0.0,0.0
15/05/2020,15.89,16.0,15.78,15.91,42699397,0.0,0.0
18/05/2020,16.29,16.69,16.26,16.55,46244540,0.0,0.0
19/05/2020,16.56,16.59,16.24,16.28,46628367,0.0,0.0
20/05/2020,16.45,16.76,16.3,16.63,50178408,0.0,0.0
21/05/2020,16.74,16.89,16.6,16.73,51200272,0.0,0.0
22/05/2020,16.74,16.81,16.54,16.79,35269109,0.0,0.0
26/05/2020,17.22,17.49,17.18,17.32,54791357,0.0,0.0
27/05/2020,17.84,17.97,17.72,17.9,57514957,0.0,0.0
28/05/2020,18.0,18.02,17.41,17.46,52532745,0.0,0.0
29/05/2020,17.17,17.4,17.05,17.34,57900771,0.0,0.0
01/06/2020,17.28,17.56,17.2,17.38,33027445,0.0,0.0
02/06/2020,17.45,17.48,17.26,17.42,37650588,0.0,0.0
03/06/2020,17.59,17.79,17.58,17.71,36888361,0.0,0.0
04/06/2020,17.64,17.87,17.58,17.87,40729947,0.0,0.0
05/06/2020,18.29,18.55,18.11,18.42,61816766,0.0,0.0
08/06/2020,18.55,18.68,18.37,18.68,45385793,0.0,0.0
09/06/2020,18.44,18.47,18.18,18.33,42645378,0.0,0.0
10/06/2020,18.31,18.33,18.04,18.06,36133549,0.0,0.0
11/06/2020,17.54,17.6,16.93,16.96,66021525,0.0,0.0
12/06/2020,17.43,17.47,16.87,17.14,48034323,0.0,0.0
15/06/2020,16.86,17.23,16.59,17.14,53309006,0.0,0.0
16/06/2020,17.66,17.69,17.06,17.3,55119444,0.0,0.0
17/06/2020,17.3,17.32,16.98,17.01,41680314,0.0,0.0
18/06/2020,16.89,17.09,16.83,17.06,37554730,0.0,0.0
19/06/2020,17.25,17.28,16.85,17.04,99288878,0.0,0.0
22/06/2020,16.96,17.03,16.86,16.92,39136646,0.0,0.0
23/06/2020,17.03,17.24,16.97,17.0,51520812,0.0,0.0
24/06/2020,16.88,16.88,16.39,16.53,86849104,0.0,0.0
25/06/2020,16.57,16.75,16.42,16.7,48420401,0.0,0.0
26/06/2020,16.61,16.61,16.25,16.34,101387551,0.0,0.0
29/06/2020,16.48,16.82,16.46,16.81,49695678,0.0,0.0
30/06/2020,16.87,17.05,16.7,16.99,57979814,0.0,0.0
01/07/2020,16.93,17.13,16.78,16.8,41007987,0.0,0.0
02/07/2020,16.92,17.14,16.87,16.91,49947900,0.0,0.0
06/07/2020,17.16,17.2,17.0,17.14,44639852,0.0,0.0
07/07/2020,17.03,17.11,16.99,17.04,36422181,0.0,0.0
08/07/2020,17.12,17.17,16.95,17.12,51547292,0.0,0.0
09/07/2020,17.18,17.18,16.9,16.99,52120187,0.52,0.0
10/07/2020,16.96,17.38,16.93,17.33,48846464,0.0,0.0
13/07/2020,17.34,17.35,17.04,17.11,54274864,0.0,0.0
14/07/2020,17.09,17.31,16.98,17.23,40519034,0.0,0.0
15/07/2020,17.29,17.33,17.16,17.26,40985612,0.0,0.0
16/07/2020,17.23,17.54,17.2,17.48,43674920,0.0,0.0
17/07/2020,17.53,17.56,17.35,17.39,30634712,0.0,0.0
20/07/2020,17.35,17.35,17.14,17.16,42896938,0.0,0.0
21/07/2020,17.19,17.49,17.17,17.39,45341572,0.0,0.0
22/07/2020,17.34,17.41,17.22,17.34,40393519,0.0,0.0
23/07/2020,17.34,17.34,16.99,17.19,68190502,0.0,0.0
24/07/2020,17.14,17.37,16.94,17.0,51274813,0.0,0.0
27/07/2020,16.96,16.97,16.8,16.84,44346850,0.0,0.0
28/07/2020,16.83,17.19,16.79,17.07,49871240,0.0,0.0
29/07/2020,17.06,17.06,16.85,17.0,40350092,0.0,0.0
30/07/2020,16.95,17.1,16.88,17.0,35281820,0.0,0.0
31/07/2020,16.97,17.03,16.83,17.01,51205965,0.0,0.0
03/08/2020,17.22,17.24,16.91,17.03,51608461,0.0,0.0
04/08/2020,17.02,17.34,17.0,17.26,45074786,0.0,0.0
05/08/2020,17.34,17.37,17.13,17.16,30387521,0.0,0.0
06/08/2020,17.08,17.3,17.07,17.16,29007119,0.0,0.0
07/08/2020,17.1,17.29,17.01,17.26,40278860,0.0,0.0
10/08/2020,17.28,17.37,17.25,17.37,47021066,0.0,0.0
11/08/2020,17.49,17.69,17.31,17.37,41026656,0.0,0.0
12/08/2020,17.46,17.54,17.31,17.35,28046160,0.0,0.0
13/08/2020,17.25,17.33,17.16,17.2,32958464,0.0,0.0
14/08/2020,17.15,17.34,17.11,17.26,29853155,0.0,0.0
17/08/2020,17.3,17.3,17.14,17.16,33125686,0.0,0.0
18/08/2020,17.17,17.21,17.12,17.13,29013606,0.0,0.0
19/08/2020,17.14,17.19,17.07,17.1,32808588,0.0,0.0
20/08/2020,16.99,17.18,16.96,17.06,30355348,0.0,0.0
21/08/2020,17.1,17.13,16.98,17.07,32945886,0.0,0.0
24/08/2020,17.08,17.28,17.06,17.27,34932813,0.0,0.0
25/08/2020,17.3,17.33,17.15,17.19,27839880,0.0,0.0
26/08/2020,17.15,17.32,17.08,17.25,36860557,0.0,0.0
27/08/2020,17.26,17.35,17.15,17.19,39206950,0.0,0.0
28/08/2020,17.22,17.3,17.14,17.27,35535366,0.0,0.0
31/08/2020,17.34,17.34,17.14,17.14,54923492,0.0,0.0
01/09/2020,17.1,17.11,16.86,16.95,61591818,0.0,0.0
02/09/2020,16.89,17.16,16.86,17.08,46510531,0.0,0.0
03/09/2020,17.12,17.35,16.92,17.02,58690669,0.0,0.0
04/09/2020,17.04,17.18,16.83,16.92,59361805,0.0,0.0
08/09/2020,16.96,17.02,16.69,16.97,61477424,0.0,0.0
09/09/2020,17.04,17.08,16.89,16.89,39217145,0.0,0.0
10/09/2020,16.89,16.89,16.62,16.62,62779578,0.0,0.0
11/09/2020,16.65,16.75,16.56,16.68,39282550,0.0,0.0
14/09/2020,16.73,16.85,16.68,16.76,38028987,0.0,0.0
15/09/2020,16.78,16.87,16.71,16.74,34307091,0.0,0.0
16/09/2020,16.75,16.99,16.74,16.81,40870556,0.0,0.0
17/09/2020,16.76,16.81,16.65,16.72,41904600,0.0,0.0
18/09/2020,16.7,16.8,16.62,16.64,60721023,0.0,0.0
21/09/2020,16.56,16.57,16.25,16.46,60207576,0.0,0.0
22/09/2020,16.41,16.64,16.34,16.39,37268482,0.0,0.0
23/09/2020,16.42,16.5,16.01,16.03,57973723,0.0,0.0
24/09/2020,16.03,16.25,15.96,16.12,43760980,0.0,0.0
25/09/2020,16.05,16.16,15.96,16.12,47569731,0.0,0.0
28/09/2020,16.28,16.47,16.24,16.32,40415232,0.0,0.0
29/09/2020,16.31,16.34,16.18,16.27,33695138,0.0,0.0
30/09/2020,16.32,16.49,16.27,16.39,51752777,0.0,0.0
01/10/2020,16.4,16.47,16.3,16.38,37920022,0.0,0.0
02/10/2020,16.26,16.61,16.22,16.49,37996284,0.0,0.0
05/10/2020,16.38,16.53,16.31,16.49,44305806,0.0,0.0
06/10/2020,16.53,16.77,16.48,16.51,51851282,0.0,0.0
07/10/2020,16.63,16.66,16.5,16.56,54847362,0.0,0.0
08/10/2020,16.68,16.87,16.64,16.85,42511786,0.52,0.0
09/10/2020,16.87,16.9,16.63,16.68,43291755,0.0,0.0
12/10/2020,16.67,16.67,16.5,16.57,67800584,0.0,0.0
13/10/2020,16.5,16.57,16.31,16.35,71511756,0.0,0.0
14/10/2020,16.32,16.47,16.19,16.19,64131912,0.0,0.0
15/10/2020,16.09,16.17,15.97,16.17,42483188,0.0,0.0
16/10/2020,16.19,16.24,16.09,16.1,38827756,0.0,0.0
19/10/2020,16.17,16.18,15.8,15.84,69017472,0.0,0.0
20/10/2020,15.9,15.98,15.71,15.76,55064895,0.0,0.0
21/10/2020,15.77,15.86,15.63,15.74,63219941,0.0,0.0
22/10/2020,16.39,16.79,16.32,16.66,118508460,0.0,0.0
23/10/2020,16.7,16.74,16.35,16.39,56442782,0.0,0.0
26/10/2020,16.28,16.29,15.96,16.13,54978438,0.0,0.0
27/10/2020,16.05,16.06,15.85,15.86,46561108,0.0,0.0
28/10/2020,15.73,15.84,15.58,15.61,64808211,0.0,0.0
29/10/2020,15.61,15.94,15.52,15.76,58489289,0.0,0.0
30/10/2020,15.75,15.93,15.72,15.92,64109669,0.0,0.0
02/11/2020,16.14,16.26,15.91,16.11,63620980,0.0,0.0
03/11/2020,16.21,16.38,16.14,16.18,44069208,0.0,0.0
04/11/2020,16.03,16.17,15.82,15.93,60219095,0.0,0.0
05/11/2020,16.02,16.41,16.01,16.21,46498086,0.0,0.0
06/11/2020,16.19,16.32,16.13,16.17,34735537,0.0,0.0
09/11/2020,16.64,16.96,16.58,16.67,93572376,0.0,0.0
10/11/2020,16.82,17.07,16.78,17.0,58510208,0.0,0.0
11/11/2020,17.07,17.08,16.75,16.93,52587691,0.0,0.0
12/11/2020,16.79,16.84,16.61,16.75,40346649,0.0,0.0
13/11/2020,16.83,17.08,16.77,17.03,36370545,0.0,0.0
16/11/2020,17.15,17.22,17.03,17.07,66132476,0.0,0.0
17/11/2020,16.95,17.16,16.9,17.1,37833830,0.0,0.0
18/11/2020,17.11,17.18,16.85,16.86,39135984,0.0,0.0
19/11/2020,16.8,16.8,16.56,16.66,54788444,0.0,0.0
20/11/2020,16.62,16.74,16.59,16.68,37358778,0.0,0.0
23/11/2020,16.72,16.91,16.7,16.86,36832091,0.0,0.0
24/11/2020,17.04,17.34,17.03,17.22,58266592,0.0,0.0
25/11/2020,17.25,17.25,17.03,17.08,32423701,0.0,0.0
27/11/2020,17.13,17.2,17.01,17.1,20720335,0.0,0.0
30/11/2020,17.01,17.1,16.91,16.94,57382822,0.0,0.0
01/12/2020,16.98,17.17,16.94,17.01,55682012,0.0,0.0
02/12/2020,16.98,17.2,16.96,17.14,39041053,0.0,0.0
03/12/2020,17.1,17.23,17.03,17.22,46284260,0.0,0.0
04/12/2020,17.3,17.53,17.27,17.4,49948562,0.0,0.0
07/12/2020,17.54,17.54,17.39,17.46,45853562,0.0,0.0
08/12/2020,17.37,18.22,17.36,18.15,97456992,0.0,0.0
09/12/2020,18.26,18.79,18.24,18.53,93587470,0.0,0.0
10/12/2020,18.3,18.33,17.96,18.08,62270236,0.0,0.0
11/12/2020,17.93,18.32,17.9,18.27,41708913,0.0,0.0
14/12/2020,18.4,18.42,17.91,18.0,56451785,0.0,0.0
15/12/2020,18.05,18.09,17.84,18.01,44250331,0.0,0.0
16/12/2020,17.99,18.02,17.81,17.84,45926250,0.0,0.0
17/12/2020,17.7,17.74,17.4,17.45,81662996,0.0,0.0
18/12/2020,17.39,17.48,17.24,17.32,98528240,0.0,0.0
21/12/2020,17.07,17.21,16.94,17.09,63319903,0.0,0.0
22/12/2020,17.08,17.09,16.68,16.73,84593405,0.0,0.0
23/12/2020,16.79,17.04,16.79,16.94,52034656,0.0,0.0
24/12/2020,16.93,16.94,16.79,16.9,25358704,0.0,0.0
28/12/2020,17.04,17.06,16.79,16.82,55104218,0.0,0.0
29/12/2020,16.9,17.01,16.8,16.81,48481570,0.0,0.0
30/12/2020,16.81,16.9,16.75,16.78,45476487,0.0,0.0
31/12/2020,16.76,16.97,16.72,16.94,51135925,0.0,0.0
04/01/2021,17.31,17.37,17.1,17.34,86700816,0.0,0.0
05/01/2021,17.38,17.53,17.2,17.24,83054520,0.0,0.0
06/01/2021,17.33,17.67,17.3,17.57,73455520,0.0,0.0
07/01/2021,17.69,17.73,17.48,17.62,71265359,0.0,0.0
08/01/2021,17.57,17.61,17.34,17.5,72471656,0.52,0.0
11/01/2021,17.33,17.5,17.29,17.41,40833484,0.0,0.0
12/01/2021,17.41,17.41,17.19,17.34,57515222,0.0,0.0
13/01/2021,17.36,17.37,17.17,17.25,51383116,0.0,0.0
14/01/2021,17.28,17.95,17.2,17.66,84548919,0.0,0.0
15/01/2021,17.46,17.66,17.38,17.59,53824704,0.0,0.0
19/01/2021,17.66,17.72,17.43,17.46,53971536,0.0,0.0
20/01/2021,17.49,17.49,17.33,17.46,43086270,0.0,0.0
21/01/2021,17.43,17.53,17.35,17.38,37102320,0.0,0.0
22/01/2021,17.37,17.52,17.23,17.44,45975370,0.0,0.0
25/01/2021,17.34,17.6,17.18,17.55,68733209,0.0,0.0
26/01/2021,17.55,17.99,17.53,17.94,66887024,0.0,0.0
27/01/2021,17.51,18.21,17.46,17.57,97381127,0.0,0.0
28/01/2021,17.5,17.92,17.35,17.37,69698670,0.0,0.0
29/01/2021,17.35,17.51,17.23,17.26,66272688,0.0,0.0
01/02/2021,17.45,17.47,17.08,17.28,56774709,0.0,0.0
02/02/2021,17.35,17.38,17.11,17.21,56673026,0.0,0.0
03/02/2021,17.19,17.31,17.16,17.19,53468813,0.0,0.0
04/02/2021,17.2,17.42,17.17,17.42,42001782,0.0,0.0
05/02/2021,17.47,17.53,17.4,17.44,36503739,0.0,0.0
08/02/2021,17.47,17.48,17.26,17.35,42459356,0.0,0.0
09/02/2021,17.28,17.35,17.22,17.26,43411312,0.0,0.0
10/02/2021,17.27,17.28,17.17,17.22,55965612,0.0,0.0
11/02/2021,17.19,17.31,17.16,17.3,44673216,0.0,0.0
12/02/2021,17.25,17.39,17.24,17.37,38015880,0.0,0.0
16/02/2021,17.37,17.6,17.32,17.47,51239727,0.0,0.0
17/02/2021,17.38,17.93,17.37,17.83,67769867,0.0,0.0
18/02/2021,17.82,17.84,17.61,17.63,35751575,0.0,0.0
19/02/2021,17.66,17.69,17.47,17.49,39326772,0.0,0.0
22/02/2021,17.48,17.83,17.47,17.68,46173044,0.0,0.0
23/02/2021,17.88,17.98,17.55,17.6,62175305,0.0,0.0
24/02/2021,17.67,17.84,17.61,17.72,45852636,0.0,0.0
25/02/2021,17.58,17.64,17.24,17.26,77501929,0.0,0.0
26/02/2021,17.29,17.36,16.82,16.82,102619798,0.0,0.0
01/03/2021,16.98,17.16,16.9,16.94,58790102,0.0,0.0
02/03/2021,16.93,17.16,16.93,17.02,47299370,0.0,0.0
03/03/2021,16.99,17.44,16.99,17.32,75820581,0.0,0.0
04/03/2021,17.35,17.68,17.28,17.44,80437237,0.0,0.0
05/03/2021,17.49,17.93,17.47,17.86,77737336,0.0,0.0
08/03/2021,17.81,18.32,17.74,18.08,74116593,0.0,0.0
09/03/2021,18.03,18.17,17.85,17.87,63488580,0.0,0.0
10/03/2021,18.05,18.19,17.83,18.08,57977033,0.0,0.0
11/03/2021,18.04,18.09,17.79,17.81,48327854,0.0,0.0
12/03/2021,18.03,18.61,17.92,17.98,92827229,0.0,0.0
15/03/2021,18.1,18.13,17.9,18.05,56121050,0.0,0.0
16/03/2021,17.94,18.11,17.9,18.08,50311735,0.0,0.0
17/03/2021,18.16,18.23,17.98,18.18,52881354,0.0,0.0
18/03/2021,18.13,18.39,18.08,18.1,41438817,0.0,0.0
19/03/2021,18.1,18.13,17.86,17.94,97559734,0.0,0.0
22/03/2021,17.96,18.1,17.84,18.08,41525936,0.0,0.0
23/03/2021,18.06,18.25,17.98,18.09,48880756,0.0,0.0
24/03/2021,18.08,18.26,18.07,18.08,44403518,0.0,0.0
25/03/2021,18.09,18.2,17.98,18.14,49001902,0.0,0.0
26/03/2021,18.26,18.45,18.14,18.28,83378238,0.0,0.0
29/03/2021,18.33,18.48,18.22,18.43,49355145,0.0,0.0
30/03/2021,18.46,18.54,18.33,18.53,46516092,0.0,0.0
31/03/2021,18.48,18.48,18.21,18.25,59981040,0.0,0.0
01/04/2021,18.23,18.38,18.11,18.37,42999548,0.0,0.0
05/04/2021,18.46,18.6,18.45,18.52,50996905,0.0,0.0
06/04/2021,18.52,18.68,18.51,18.68,44574314,0.0,0.0
07/04/2021,18.7,18.78,18.57,18.65,53821262,0.0,0.0
