Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,30.5,31.05,29.75,30.27,20095400,0.0,0.0
01/05/2020,29.13,29.72,28.33,28.39,19290200,0.0,0.0
04/05/2020,27.56,28.07,26.58,27.42,23428300,0.0,0.0
05/05/2020,28.25,28.91,27.44,28.07,30725400,0.0,0.0
06/05/2020,27.5,28.06,26.81,27.82,31076500,0.0,0.0
07/05/2020,29.6,31.65,29.58,30.93,62229500,0.0,0.0
08/05/2020,32.59,33.3,31.64,32.79,69458100,0.0,0.0
11/05/2020,31.98,32.38,31.41,31.64,26439200,0.0,0.0
12/05/2020,31.42,34.45,30.41,32.4,89586000,0.0,0.0
13/05/2020,32.3,33.06,30.83,33.02,47279500,0.0,0.0
14/05/2020,32.53,33.04,31.24,32.79,32912600,0.0,0.0
15/05/2020,32.26,32.89,31.59,32.47,25950000,0.0,0.0
18/05/2020,33.7,36.0,32.99,33.62,47534600,0.0,0.0
19/05/2020,33.68,34.0,32.86,33.4,20223600,0.0,0.0
20/05/2020,34.12,34.77,33.82,34.48,21386700,0.0,0.0
21/05/2020,34.45,35.01,33.47,34.26,24075300,0.0,0.0
22/05/2020,34.15,34.93,33.57,34.83,18675700,0.0,0.0
26/05/2020,35.97,36.0,34.5,34.56,23483200,0.0,0.0
27/05/2020,34.42,35.0,33.1,34.88,27514600,0.0,0.0
28/05/2020,34.9,35.1,33.82,34.15,21951900,0.0,0.0
29/05/2020,34.18,36.45,34.0,36.32,72393800,0.0,0.0
01/06/2020,35.64,36.39,35.16,35.82,21893800,0.0,0.0
02/06/2020,36.16,36.42,35.26,35.81,19328400,0.0,0.0
03/06/2020,36.2,37.37,36.14,36.75,23051800,0.0,0.0
04/06/2020,36.42,37.3,36.28,36.43,17423600,0.0,0.0
05/06/2020,37.53,38.78,36.92,37.21,30393400,0.0,0.0
08/06/2020,37.87,37.9,36.09,37.08,30099500,0.0,0.0
09/06/2020,36.7,37.33,36.25,36.59,15127300,0.0,0.0
10/06/2020,36.69,36.8,34.26,34.83,43473700,0.0,0.0
11/06/2020,32.63,33.24,30.89,31.1,45298700,0.0,0.0
12/06/2020,32.73,32.74,31.04,32.24,27685200,0.0,0.0
15/06/2020,31.16,32.68,31.02,32.67,21350300,0.0,0.0
16/06/2020,34.0,34.17,32.43,33.49,21377100,0.0,0.0
17/06/2020,33.5,33.6,33.01,33.29,14827700,0.0,0.0
18/06/2020,33.0,33.44,32.8,33.4,15495800,0.0,0.0
19/06/2020,33.98,34.02,32.27,32.3,29426300,0.0,0.0
22/06/2020,32.43,32.85,31.43,32.68,17790300,0.0,0.0
23/06/2020,32.88,33.21,32.59,33.05,13622100,0.0,0.0
24/06/2020,32.75,32.93,30.45,30.46,29477200,0.0,0.0
25/06/2020,30.0,30.85,29.56,30.58,19142800,0.0,0.0
26/06/2020,30.44,30.44,29.21,29.61,46482300,0.0,0.0
29/06/2020,29.51,29.75,28.39,29.63,20795400,0.0,0.0
30/06/2020,30.83,31.25,30.13,31.08,21282800,0.0,0.0
01/07/2020,30.96,31.26,30.16,30.43,13611500,0.0,0.0
02/07/2020,31.02,31.57,30.51,30.68,14981100,0.0,0.0
06/07/2020,33.1,33.2,31.76,32.52,42392200,0.0,0.0
07/07/2020,32.46,33.56,32.39,32.82,34874700,0.0,0.0
08/07/2020,33.21,33.97,32.68,33.93,24602400,0.0,0.0
09/07/2020,34.24,34.46,32.26,33.15,25061800,0.0,0.0
10/07/2020,33.14,33.55,32.65,33.14,13586300,0.0,0.0
13/07/2020,33.21,33.6,31.66,31.72,19604800,0.0,0.0
14/07/2020,31.35,31.38,30.48,30.93,21781800,0.0,0.0
15/07/2020,32.1,32.97,31.68,32.81,20976500,0.0,0.0
16/07/2020,32.05,32.59,31.55,32.35,11090800,0.0,0.0
17/07/2020,32.58,32.82,31.85,32.55,13658700,0.0,0.0
20/07/2020,32.48,33.92,32.35,33.66,16213600,0.0,0.0
21/07/2020,34.16,34.23,32.53,32.55,16725100,0.0,0.0
22/07/2020,32.44,32.88,32.33,32.66,12128400,0.0,0.0
23/07/2020,32.33,33.02,31.98,32.17,12749800,0.0,0.0
24/07/2020,31.74,31.8,30.47,31.18,16896100,0.0,0.0
27/07/2020,31.21,31.6,30.75,30.99,10182300,0.0,0.0
28/07/2020,30.79,31.24,30.35,30.81,12977100,0.0,0.0
29/07/2020,30.92,31.26,30.77,31.02,8215900,0.0,0.0
30/07/2020,30.65,30.68,29.97,30.24,13062900,0.0,0.0
31/07/2020,30.4,30.42,29.78,30.26,16346800,0.0,0.0
03/08/2020,30.24,31.3,30.06,31.19,17078900,0.0,0.0
04/08/2020,31.17,32.85,31.17,32.68,21958100,0.0,0.0
05/08/2020,33.1,33.32,32.5,33.2,16987800,0.0,0.0
06/08/2020,33.27,34.79,33.21,34.71,38601500,0.0,0.0
07/08/2020,33.09,33.7,32.45,32.9,39071200,0.0,0.0
10/08/2020,33.04,33.18,31.51,32.27,21347600,0.0,0.0
11/08/2020,31.66,32.21,30.65,31.21,31569900,0.0,0.0
12/08/2020,31.46,32.22,30.69,30.84,23375900,0.0,0.0
13/08/2020,30.52,31.33,30.32,30.46,21976800,0.0,0.0
14/08/2020,30.4,30.49,29.82,29.99,17631600,0.0,0.0
17/08/2020,30.05,30.12,29.14,29.48,18544700,0.0,0.0
