Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,271.68,279.6,270.61,277.2,7631700,0.0,0.0
01/05/2020,273.33,273.91,265.0,269.65,3526100,0.0,0.0
04/05/2020,269.63,272.9,267.38,272.52,2894200,0.0,0.0
05/05/2020,274.82,280.54,272.29,277.74,2501300,0.0,0.0
06/05/2020,279.69,282.14,273.38,273.69,2579200,0.0,0.0
07/05/2020,275.86,277.03,269.66,270.12,3162300,0.0,0.0
08/05/2020,274.37,274.86,270.74,272.01,3200000,0.0,0.0
11/05/2020,270.65,274.95,270.36,273.61,3490700,0.0,0.0
12/05/2020,276.53,277.84,272.68,272.68,4214300,0.0,0.0
13/05/2020,269.63,271.44,261.17,263.48,5474100,0.0,0.0
14/05/2020,261.52,277.18,261.25,275.43,5704600,0.0,0.0
15/05/2020,277.14,284.33,275.54,275.77,12182800,0.0,0.0
18/05/2020,282.89,284.07,276.77,278.04,4015100,0.0,0.0
19/05/2020,275.56,279.24,273.79,273.96,3059400,0.0,0.0
20/05/2020,277.6,277.6,271.73,272.95,3200600,0.0,0.0
21/05/2020,271.1,274.98,270.05,271.93,3604900,0.0,0.0
22/05/2020,272.3,275.08,269.92,274.8,2922800,0.0,0.0
26/05/2020,281.02,281.52,277.23,279.49,4567800,0.0,0.0
27/05/2020,281.89,287.94,275.61,287.91,5618900,0.0,0.0
28/05/2020,289.97,293.49,287.45,288.1,4387700,0.0,0.0
29/05/2020,288.81,292.27,285.14,288.93,6251500,0.0,0.0
01/06/2020,288.14,290.0,284.87,289.95,2894000,0.0,0.0
02/06/2020,289.62,292.01,285.97,290.31,2756800,0.0,0.0
03/06/2020,291.77,293.93,286.93,289.4,4360000,0.0,0.0
04/06/2020,287.35,288.57,278.92,282.51,4374300,0.0,0.0
05/06/2020,288.13,297.87,284.81,295.57,5554300,0.0,0.0
08/06/2020,292.52,299.35,291.85,293.32,4635500,0.0,0.0
09/06/2020,293.72,296.32,291.28,293.06,3061500,0.0,0.0
10/06/2020,292.81,294.11,287.04,289.78,3296100,0.0,0.0
11/06/2020,287.52,287.52,266.14,268.91,6638900,0.0,0.0
12/06/2020,275.47,278.74,264.15,270.26,5416800,0.0,0.0
15/06/2020,263.5,272.01,259.42,271.33,4494600,0.0,0.0
16/06/2020,280.01,282.03,272.43,277.7,4245400,0.0,0.0
17/06/2020,279.69,279.69,276.02,277.32,2538000,0.0,0.0
18/06/2020,275.26,276.54,271.63,276.26,2926600,0.0,0.0
19/06/2020,280.26,282.25,276.91,277.22,5172800,1.25,0.0
22/06/2020,275.84,278.9,272.48,278.58,2174100,0.0,0.0
23/06/2020,279.86,284.87,277.06,283.27,4023400,0.0,0.0
24/06/2020,279.84,282.8,271.82,275.26,3399900,0.0,0.0
25/06/2020,274.4,282.49,272.29,281.96,3112500,0.0,0.0
26/06/2020,280.93,282.3,272.06,273.07,5043200,0.0,0.0
29/06/2020,274.56,278.21,272.82,275.81,2356700,0.0,0.0
30/06/2020,274.68,282.18,273.81,280.75,2932900,0.0,0.0
01/07/2020,281.59,285.94,281.03,283.4,2303800,0.0,0.0
02/07/2020,286.03,288.49,282.87,283.9,1971700,0.0,0.0
06/07/2020,288.41,288.88,284.92,288.23,2395000,0.0,0.0
07/07/2020,286.19,288.95,281.7,282.37,2075700,0.0,0.0
08/07/2020,283.04,286.39,281.45,284.0,1987400,0.0,0.0
09/07/2020,280.89,284.18,273.66,277.14,3061700,0.0,0.0
10/07/2020,280.08,280.08,273.28,277.21,2391600,0.0,0.0
13/07/2020,278.03,289.86,277.73,285.28,4263300,0.0,0.0
14/07/2020,283.47,294.83,282.43,293.67,4234900,0.0,0.0
15/07/2020,286.62,295.73,284.28,289.43,5116900,0.0,0.0
16/07/2020,290.33,295.89,288.57,292.36,3844500,0.0,0.0
17/07/2020,294.21,296.0,291.51,291.77,3016500,0.0,0.0
20/07/2020,292.02,293.74,287.82,288.85,2375500,0.0,0.0
21/07/2020,290.35,292.22,288.52,290.42,2340200,0.0,0.0
22/07/2020,290.18,292.14,287.28,291.95,1935800,0.0,0.0
23/07/2020,293.36,293.65,286.77,288.39,2367700,0.0,0.0
24/07/2020,288.73,289.63,284.83,286.31,2415700,0.0,0.0
27/07/2020,284.06,287.59,283.06,284.23,2060500,0.0,0.0
28/07/2020,283.55,286.89,282.9,285.49,2257400,0.0,0.0
29/07/2020,286.95,294.84,285.56,291.92,2672700,0.0,0.0
30/07/2020,287.16,291.71,284.5,290.54,2205300,0.0,0.0
31/07/2020,288.83,289.12,283.7,288.21,3913500,0.0,0.0
03/08/2020,288.98,290.23,284.8,289.0,2628500,0.0,0.0
04/08/2020,287.38,293.99,285.63,289.84,3594900,0.0,0.0
05/08/2020,292.06,297.89,290.34,297.43,2982200,0.0,0.0
06/08/2020,296.98,301.02,295.46,298.94,3305300,0.0,0.0
07/08/2020,298.26,303.64,298.26,301.77,2600800,0.0,0.0
10/08/2020,301.74,305.04,300.39,303.74,2563600,0.0,0.0
11/08/2020,307.38,308.95,299.51,300.36,3018200,0.0,0.0
12/08/2020,302.69,307.73,302.35,306.76,2915800,0.0,0.0
13/08/2020,305.24,306.38,302.54,306.04,2159500,0.0,0.0
14/08/2020,305.11,308.34,303.39,308.12,1787200,0.0,0.0
17/08/2020,305.98,308.21,303.98,305.08,2772500,0.0,0.0
18/08/2020,306.48,307.14,300.51,301.56,2520000,0.0,0.0
19/08/2020,301.52,304.11,300.01,300.22,2066700,0.0,0.0
20/08/2020,299.67,300.1,296.99,298.25,2245600,0.0,0.0
21/08/2020,296.3,300.1,295.16,299.02,2488500,0.0,0.0
24/08/2020,301.56,301.65,291.74,293.97,2922200,0.0,0.0
25/08/2020,297.17,297.32,292.98,297.19,1879300,0.0,0.0
26/08/2020,296.01,296.37,289.0,293.95,3178900,0.0,0.0
27/08/2020,295.47,299.62,290.78,296.67,2321000,0.0,0.0
28/08/2020,297.3,300.62,294.1,299.24,2883500,0.0,0.0
31/08/2020,299.73,304.18,297.5,297.5,4341600,0.0,0.0
01/09/2020,295.23,299.57,295.08,297.77,2487100,0.0,0.0
02/09/2020,297.51,305.81,297.51,304.82,2846500,0.0,0.0
03/09/2020,306.5,308.23,298.63,301.01,3872500,0.0,0.0
04/09/2020,301.25,302.53,291.87,296.98,2901000,0.0,0.0
08/09/2020,296.06,296.47,289.2,292.46,2594500,0.0,0.0
09/09/2020,294.77,300.14,293.57,297.0,2195600,0.0,0.0
10/09/2020,297.68,299.3,289.1,289.94,2421200,0.0,0.0
11/09/2020,291.58,292.91,284.15,288.15,3085900,1.25,0.0
14/09/2020,289.61,297.36,289.61,294.93,1795500,0.0,0.0
15/09/2020,296.34,297.69,292.52,293.65,1468300,0.0,0.0
16/09/2020,295.4,298.44,292.66,292.97,3438200,0.0,0.0
17/09/2020,291.04,293.79,288.75,291.5,2394100,0.0,0.0
18/09/2020,291.52,296.67,290.34,294.4,3795400,0.0,0.0
21/09/2020,287.18,287.24,278.76,285.96,4124700,0.0,0.0
22/09/2020,285.24,287.33,279.97,281.25,3163600,0.0,0.0
23/09/2020,281.96,283.01,278.93,279.22,3709900,0.0,0.0
24/09/2020,279.27,281.89,276.83,279.72,2869100,0.0,0.0
25/09/2020,278.37,289.86,278.34,289.12,2455800,0.0,0.0
28/09/2020,292.84,296.3,289.44,289.82,2575700,0.0,0.0
29/09/2020,290.24,291.99,287.39,290.7,1797800,0.0,0.0
30/09/2020,290.58,300.61,290.55,297.99,3497300,0.0,0.0
01/10/2020,299.07,301.23,295.48,299.23,2731200,0.0,0.0
02/10/2020,298.3,303.36,294.73,298.19,2338000,0.0,0.0
05/10/2020,301.14,304.34,299.28,304.08,1638600,0.0,0.0
06/10/2020,304.85,306.14,299.63,300.55,2434400,0.0,0.0
07/10/2020,301.86,310.38,301.86,308.88,2596600,0.0,0.0
08/10/2020,309.13,310.96,306.8,308.15,2056700,0.0,0.0
09/10/2020,310.31,313.66,309.6,313.34,2028900,0.0,0.0
12/10/2020,314.57,318.81,314.46,315.38,2424200,0.0,0.0
13/10/2020,313.98,318.95,313.22,316.77,2713500,0.0,0.0
14/10/2020,307.83,315.95,306.04,307.62,4455400,0.0,0.0
15/10/2020,304.75,312.51,302.34,310.22,3172200,0.0,0.0
16/10/2020,311.07,317.66,310.37,315.31,3293300,0.0,0.0
19/10/2020,314.01,316.15,307.82,309.88,2482100,0.0,0.0
20/10/2020,312.18,314.09,308.99,309.11,1988600,0.0,0.0
21/10/2020,309.11,312.05,307.93,308.52,2139000,0.0,0.0
22/10/2020,308.07,313.55,308.0,311.33,2100600,0.0,0.0
23/10/2020,314.61,320.81,313.62,315.98,2349500,0.0,0.0
26/10/2020,311.89,313.26,304.46,308.78,2408500,0.0,0.0
