Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,147.18,148.38,145.06,146.49,3757000,0.0,0.0
01/05/2020,144.58,144.58,141.86,143.61,3089000,0.0,0.0
04/05/2020,142.23,142.29,139.71,141.94,2416100,0.0,0.0
05/05/2020,143.54,145.93,142.91,143.37,2269500,0.0,0.0
06/05/2020,143.55,144.06,141.09,141.46,2095200,0.0,0.0
07/05/2020,143.53,144.82,142.6,143.22,2411500,0.0,0.0
08/05/2020,145.49,146.1,144.74,145.09,2309300,0.0,0.0
11/05/2020,143.64,144.81,142.84,143.8,2857400,0.0,0.0
12/05/2020,143.31,144.1,141.18,141.18,2683500,0.0,0.0
13/05/2020,140.21,141.14,138.01,140.03,3499700,0.0,0.0
14/05/2020,138.26,139.98,134.81,139.76,3930400,0.0,0.0
15/05/2020,138.43,140.16,137.3,138.66,5127700,0.0,0.0
18/05/2020,144.36,147.48,142.86,145.88,5423000,0.0,0.0
19/05/2020,145.88,149.35,145.54,146.01,3136400,0.0,0.0
20/05/2020,151.27,154.66,150.49,152.21,4294300,0.0,0.0
21/05/2020,151.5,152.17,149.45,149.98,2277100,0.0,0.0
22/05/2020,150.06,151.66,148.67,151.42,1773900,0.0,0.0
26/05/2020,156.15,156.78,154.28,155.76,4150500,0.0,0.0
27/05/2020,157.56,159.6,156.86,159.38,3174400,0.0,0.0
28/05/2020,159.53,160.09,156.11,157.2,4065700,0.97,0.0
29/05/2020,156.9,158.06,155.22,156.6,3677000,0.0,0.0
01/06/2020,156.14,157.16,154.68,156.27,2929800,0.0,0.0
02/06/2020,157.42,159.96,156.27,157.6,3000000,0.0,0.0
03/06/2020,160.09,164.89,159.51,164.15,3897900,0.0,0.0
04/06/2020,162.61,163.82,161.58,162.66,2933300,0.0,0.0
05/06/2020,168.82,173.17,168.19,170.4,5608600,0.0,0.0
08/06/2020,169.6,171.47,165.82,167.48,3436600,0.0,0.0
09/06/2020,164.16,166.34,163.18,164.25,3569700,0.0,0.0
10/06/2020,163.97,164.81,161.29,161.74,3321200,0.0,0.0
11/06/2020,156.73,156.86,150.47,150.54,6234700,0.0,0.0
12/06/2020,155.08,155.4,149.78,153.21,3373000,0.0,0.0
15/06/2020,149.1,155.94,148.81,154.82,2948600,0.0,0.0
16/06/2020,159.76,160.86,155.22,157.62,3554000,0.0,0.0
17/06/2020,158.76,160.0,157.35,157.81,3463800,0.0,0.0
18/06/2020,156.76,158.47,156.47,157.51,2714800,0.0,0.0
19/06/2020,159.98,159.98,153.78,154.75,7119600,0.0,0.0
22/06/2020,154.02,155.67,152.95,155.07,2647600,0.0,0.0
23/06/2020,157.07,157.89,156.03,156.14,2881400,0.0,0.0
24/06/2020,154.62,155.76,152.15,152.63,3206300,0.0,0.0
25/06/2020,152.26,154.18,150.07,153.98,3441100,0.0,0.0
26/06/2020,154.0,155.01,149.47,149.94,8491200,0.0,0.0
29/06/2020,151.05,152.99,149.54,152.59,2658700,0.0,0.0
30/06/2020,151.73,156.92,151.53,155.87,4068600,0.0,0.0
01/07/2020,156.26,157.4,153.25,153.85,2914100,0.0,0.0
02/07/2020,155.97,157.37,154.78,155.88,2271400,0.0,0.0
06/07/2020,157.72,158.9,156.83,158.72,2498100,0.0,0.0
07/07/2020,157.1,158.76,156.04,156.53,2380800,0.0,0.0
08/07/2020,156.35,158.83,155.61,155.84,3362600,0.0,0.0
09/07/2020,156.26,156.26,151.86,153.03,2977500,0.0,0.0
10/07/2020,153.04,154.2,151.82,153.4,2300300,0.0,0.0
13/07/2020,155.1,157.61,153.7,155.96,2975900,0.0,0.0
14/07/2020,155.13,159.12,154.89,158.47,3015300,0.0,0.0
15/07/2020,161.13,161.78,159.88,160.78,2493000,0.0,0.0
16/07/2020,160.62,164.46,160.39,163.06,3319700,0.0,0.0
17/07/2020,163.96,168.27,163.08,167.1,6132900,0.0,0.0
20/07/2020,166.2,166.91,162.53,163.54,2885700,0.0,0.0
21/07/2020,163.95,166.32,163.95,164.71,2230700,0.0,0.0
22/07/2020,163.5,166.4,163.34,165.38,2951300,0.0,0.0
23/07/2020,164.81,165.51,159.35,161.34,4010600,0.0,0.0
24/07/2020,161.93,163.25,161.08,162.37,2720300,0.0,0.0
27/07/2020,161.86,165.25,161.39,163.02,2738200,0.0,0.0
28/07/2020,162.59,163.44,160.5,160.79,1965800,0.0,0.0
29/07/2020,160.82,164.46,160.68,164.09,2736700,0.0,0.0
30/07/2020,162.14,162.65,158.91,159.31,2775500,0.0,0.0
31/07/2020,158.95,160.13,154.49,159.82,5089500,0.0,0.0
03/08/2020,160.29,160.82,158.26,158.63,1982800,0.0,0.0
04/08/2020,158.46,160.14,158.07,160.12,1719600,0.0,0.0
05/08/2020,160.85,164.1,160.68,163.62,3040300,0.0,0.0
06/08/2020,163.86,166.47,163.37,165.59,1971400,0.0,0.0
