Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,14.28,14.65,13.82,14.42,7032400,0.0,0.0
01/05/2020,14.18,14.39,13.28,13.71,5215000,0.0,0.0
04/05/2020,13.38,13.62,12.83,13.56,3768100,0.0,0.0
05/05/2020,13.73,14.05,13.44,13.6,2666300,0.0,0.0
06/05/2020,13.76,13.83,13.17,13.45,3148500,0.0,0.0
07/05/2020,13.77,14.05,13.59,13.71,4977500,0.0,0.0
08/05/2020,14.06,14.24,13.84,14.15,3558200,0.0,0.0
11/05/2020,13.81,14.18,13.69,13.82,3819500,0.0,0.0
12/05/2020,13.81,13.91,12.9,13.05,5403300,0.0,0.0
13/05/2020,12.88,12.99,12.17,12.31,5234900,0.0,0.0
14/05/2020,11.98,12.87,11.56,12.57,10437300,0.0,0.0
15/05/2020,12.38,12.78,12.11,12.66,3272200,0.0,0.0
18/05/2020,13.42,13.85,13.29,13.67,4346700,0.0,0.0
19/05/2020,13.61,14.42,13.38,14.27,3848000,0.0,0.0
20/05/2020,14.48,15.3,14.43,14.83,6819800,0.0,0.0
21/05/2020,14.67,15.33,14.67,15.17,3800900,0.0,0.0
22/05/2020,15.12,15.68,14.97,15.59,3208600,0.0,0.0
26/05/2020,16.46,16.81,16.07,16.41,5704800,0.0,0.0
27/05/2020,16.64,17.0,16.02,16.6,4441100,0.0,0.0
28/05/2020,16.82,16.99,16.02,16.04,4164300,0.0,0.0
29/05/2020,15.83,16.35,15.59,16.24,4860500,0.0,0.0
01/06/2020,16.17,17.16,16.16,17.05,3415400,0.0,0.0
02/06/2020,17.38,17.39,16.77,16.93,6043900,0.0,0.0
03/06/2020,17.22,18.3,17.17,18.13,6083800,0.0,0.0
04/06/2020,18.13,18.86,17.79,18.4,5951200,0.0,0.0
05/06/2020,19.28,19.85,18.68,19.03,8179800,0.0,0.0
08/06/2020,19.47,19.53,18.75,18.9,7457100,0.0,0.0
09/06/2020,18.27,18.66,18.03,18.21,3233000,0.0,0.0
10/06/2020,17.99,18.17,16.93,17.51,6402300,0.0,0.0
11/06/2020,16.44,17.2,16.16,16.98,4862200,0.0,0.0
12/06/2020,17.79,18.48,17.4,18.45,5657100,0.0,0.0
15/06/2020,17.7,19.13,17.55,18.9,23878600,0.0,0.0
16/06/2020,19.64,19.64,18.12,18.52,11722000,0.0,0.0
17/06/2020,18.91,19.3,18.68,18.95,15194000,0.0,0.0
18/06/2020,18.71,18.93,18.57,18.71,3744600,0.0,0.0
19/06/2020,18.56,18.84,18.24,18.61,8661100,0.0,0.0
22/06/2020,18.42,18.42,17.77,18.04,7861900,0.0,0.0
23/06/2020,18.28,18.54,18.09,18.26,7770400,0.0,0.0
24/06/2020,17.97,18.04,17.01,17.45,6571900,0.0,0.0
25/06/2020,17.27,17.59,17.12,17.43,4713800,0.0,0.0
