Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,47.02,47.12,46.51,46.71,17532400,0.0,0.0
01/05/2020,46.96,46.99,45.96,46.2,13857400,0.0,0.0
04/05/2020,46.22,46.37,45.37,45.73,11833600,0.0,0.0
05/05/2020,45.53,46.29,45.53,45.94,10902400,0.0,0.0
06/05/2020,45.82,46.07,45.16,45.24,12460400,0.0,0.0
07/05/2020,45.61,45.65,44.86,45.19,14083100,0.0,0.0
08/05/2020,45.71,46.37,45.55,46.34,11097900,0.0,0.0
11/05/2020,46.24,46.27,45.73,45.86,12636800,0.0,0.0
12/05/2020,46.14,46.14,45.08,45.09,13117700,0.0,0.0
13/05/2020,44.85,45.16,44.36,44.6,20604500,0.0,0.0
14/05/2020,44.31,44.66,43.78,44.64,15859200,0.0,0.0
15/05/2020,44.42,44.52,44.07,44.48,10174000,0.0,0.0
18/05/2020,45.25,45.69,44.75,45.3,15735900,0.0,0.0
19/05/2020,45.07,45.16,44.16,44.21,18467100,0.0,0.0
20/05/2020,44.34,44.64,43.94,44.12,21405400,0.0,0.0
21/05/2020,44.25,44.42,43.79,43.88,18201000,0.0,0.0
22/05/2020,43.87,44.14,43.64,43.99,19960000,0.0,0.0
26/05/2020,44.64,44.92,44.05,44.15,20830500,0.0,0.0
27/05/2020,44.4,44.9,44.25,44.83,17063800,0.0,0.0
28/05/2020,45.19,45.36,44.85,45.3,15427900,0.0,0.0
29/05/2020,44.99,46.99,44.63,46.65,34227800,0.0,0.0
01/06/2020,46.1,46.26,45.33,45.35,18156100,0.0,0.0
02/06/2020,45.38,45.9,45.16,45.86,17300400,0.0,0.0
03/06/2020,45.95,46.33,45.77,46.2,16086700,0.0,0.0
04/06/2020,46.13,46.64,45.94,46.52,16147300,0.0,0.0
05/06/2020,46.95,47.25,46.41,46.94,17105600,0.0,0.0
08/06/2020,46.87,47.32,46.56,47.23,14963000,0.0,0.0
09/06/2020,46.95,47.26,46.64,47.04,14530800,0.0,0.0
10/06/2020,47.07,47.34,46.91,47.2,13649100,0.0,0.0
11/06/2020,46.73,47.11,45.86,45.9,23412500,0.0,0.0
12/06/2020,46.04,46.19,45.36,45.96,17129000,0.0,0.0
15/06/2020,45.31,45.97,44.94,45.65,14826800,0.0,0.0
16/06/2020,46.2,46.6,45.73,46.28,15021300,0.0,0.0
17/06/2020,46.46,46.48,45.94,46.06,10652100,0.0,0.0
18/06/2020,45.94,46.31,45.83,46.25,9019500,0.0,0.0
19/06/2020,46.63,46.73,45.53,45.66,28868200,0.0,0.0
