Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,176.74,176.79,172.73,173.76,11331600,0.0,0.0
01/05/2020,169.61,174.66,169.44,170.7,10109600,0.0,0.0
04/05/2020,168.15,172.03,166.96,171.27,9386200,0.0,0.0
05/05/2020,174.12,176.08,173.32,173.49,13513000,0.0,0.0
06/05/2020,174.74,175.5,172.95,173.82,8540500,0.0,0.0
07/05/2020,176.71,179.85,176.67,177.65,9262200,0.0,0.0
08/05/2020,179.9,180.6,178.53,179.96,6470100,0.0,0.0
11/05/2020,178.77,179.5,176.4,178.47,8683100,0.0,0.0
12/05/2020,178.47,178.89,174.4,174.49,8219700,0.0,0.0
13/05/2020,173.84,176.36,170.47,172.47,13377100,0.3,0.0
14/05/2020,171.35,176.32,169.28,176.18,9695100,0.0,0.0
15/05/2020,175.28,179.33,174.2,178.7,10785900,0.0,0.0
18/05/2020,183.09,187.8,182.58,186.38,11802200,0.0,0.0
19/05/2020,186.15,189.42,184.29,184.42,7446800,0.0,0.0
20/05/2020,187.96,189.9,187.39,188.8,9545600,0.0,0.0
21/05/2020,188.45,188.57,185.06,185.64,11338100,0.0,0.0
22/05/2020,186.01,186.37,184.29,185.88,5807600,0.0,0.0
26/05/2020,190.69,191.15,187.73,188.18,9662200,0.0,0.0
27/05/2020,189.24,189.24,183.6,187.79,7650300,0.0,0.0
28/05/2020,188.49,193.11,187.68,189.19,8352200,0.0,0.0
29/05/2020,189.42,191.6,188.23,190.14,10211900,0.0,0.0
01/06/2020,189.63,190.77,188.47,189.28,6011300,0.0,0.0
02/06/2020,190.83,192.36,189.83,191.23,8462100,0.0,0.0
03/06/2020,192.83,192.97,190.47,191.73,8879400,0.0,0.0
04/06/2020,190.86,191.33,188.08,188.59,7829800,0.0,0.0
05/06/2020,191.08,194.56,190.38,194.4,8561200,0.0,0.0
08/06/2020,194.37,194.74,191.98,194.39,7628100,0.0,0.0
09/06/2020,193.18,196.41,193.07,193.88,6892300,0.0,0.0
10/06/2020,194.68,196.9,193.76,195.25,8405300,0.0,0.0
11/06/2020,190.05,191.23,183.82,183.95,11974600,0.0,0.0
12/06/2020,189.14,189.91,182.95,187.24,11706300,0.0,0.0
15/06/2020,182.12,187.46,181.35,186.75,6752700,0.0,0.0
16/06/2020,191.72,193.2,186.79,187.85,11057200,0.0,0.0
17/06/2020,188.61,190.27,188.02,188.51,5968900,0.0,0.0
18/06/2020,187.57,189.18,187.1,188.85,5803200,0.0,0.0
19/06/2020,191.75,191.96,186.37,187.18,11483300,0.0,0.0
22/06/2020,186.98,191.23,186.3,189.87,6674500,0.0,0.0
23/06/2020,191.13,194.93,190.71,192.8,9866800,0.0,0.0
24/06/2020,191.88,192.33,185.71,186.41,9453100,0.0,0.0
25/06/2020,186.11,189.17,184.94,188.92,9936600,0.0,0.0
26/06/2020,188.06,189.06,184.14,184.33,11836000,0.0,0.0
29/06/2020,184.95,186.45,182.41,186.38,8020400,0.0,0.0
30/06/2020,186.49,188.69,185.2,188.13,9040100,0.0,0.0
01/07/2020,188.79,190.25,187.63,188.72,6394100,0.0,0.0
02/07/2020,190.88,192.75,189.91,190.56,6299300,0.0,0.0
06/07/2020,193.54,193.98,190.57,192.6,7292200,0.0,0.0
07/07/2020,191.67,193.71,188.75,189.13,7660100,0.0,0.0
08/07/2020,189.99,190.42,188.08,189.98,8368000,0.0,0.0
09/07/2020,189.91,190.39,184.99,187.19,8548200,0.0,0.0
10/07/2020,186.65,187.79,184.5,187.52,7674200,0.0,0.0
13/07/2020,188.56,190.1,183.77,184.09,8564100,0.0,0.0
14/07/2020,184.55,188.42,182.29,188.28,8003900,0.0,0.0
15/07/2020,190.13,192.61,189.42,191.42,7681100,0.0,0.0
16/07/2020,190.23,190.6,187.49,188.45,5064000,0.0,0.0
17/07/2020,189.74,190.47,188.08,190.0,6395000,0.0,0.0
20/07/2020,189.66,194.27,188.61,193.29,6985300,0.0,0.0
21/07/2020,194.78,194.95,190.57,191.35,7218700,0.0,0.0
22/07/2020,191.35,193.81,191.13,193.67,6823400,0.0,0.0
23/07/2020,193.26,195.7,191.3,192.28,6106700,0.0,0.0
24/07/2020,190.56,192.33,188.97,190.06,7160300,0.0,0.0
27/07/2020,190.07,192.65,189.13,191.77,5604700,0.0,0.0
28/07/2020,192.53,194.17,191.58,191.6,6897300,0.0,0.0
29/07/2020,188.05,193.7,188.01,193.4,9471300,0.0,0.0
30/07/2020,190.1,191.43,187.11,188.99,10499400,0.0,0.0
31/07/2020,189.35,189.61,184.5,185.43,14180800,0.0,0.0
03/08/2020,186.79,188.29,185.25,185.71,11405200,0.0,0.0
04/08/2020,186.14,187.9,185.12,187.27,8204000,0.0,0.0
05/08/2020,188.51,193.01,188.06,190.98,8876800,0.0,0.0
06/08/2020,190.86,193.73,189.71,193.58,7480300,0.0,0.0
07/08/2020,192.43,192.81,190.2,191.23,5654000,0.0,0.0
10/08/2020,191.23,193.13,190.23,191.65,5525400,0.0,0.0
11/08/2020,192.66,197.59,191.22,192.61,11549600,0.0,0.0
12/08/2020,193.81,195.0,193.07,193.55,5432500,0.0,0.0
13/08/2020,192.27,195.02,192.18,192.71,7014800,0.3,0.0
14/08/2020,192.16,193.19,190.95,191.8,5014400,0.0,0.0
17/08/2020,192.44,195.52,191.87,194.52,6256200,0.0,0.0
18/08/2020,195.05,195.17,191.97,194.11,6519900,0.0,0.0
19/08/2020,194.02,197.84,194.0,196.04,9467600,0.0,0.0
20/08/2020,194.98,199.4,194.68,199.12,8849200,0.0,0.0
21/08/2020,199.46,200.09,198.33,199.1,9998300,0.0,0.0
24/08/2020,199.96,201.37,199.63,201.33,6159600,0.0,0.0
25/08/2020,202.09,203.07,200.48,202.97,5828300,0.0,0.0
26/08/2020,202.97,205.61,202.19,205.08,7035200,0.0,0.0
27/08/2020,206.01,206.95,203.9,205.83,8619600,0.0,0.0
28/08/2020,206.78,210.84,206.02,210.4,7349800,0.0,0.0
31/08/2020,210.23,210.64,206.35,206.77,9326900,0.0,0.0
01/09/2020,206.98,208.62,205.92,208.1,5642900,0.0,0.0
02/09/2020,208.86,212.0,208.5,211.15,9863800,0.0,0.0
03/09/2020,209.64,209.64,201.99,203.81,11310200,0.0,0.0
04/09/2020,203.35,205.32,195.22,199.62,13243600,0.0,0.0
08/09/2020,195.83,197.27,194.3,195.19,14186900,0.0,0.0
09/09/2020,199.32,201.21,196.98,199.03,7532600,0.0,0.0
10/09/2020,199.81,201.9,195.51,196.58,7243000,0.0,0.0
11/09/2020,196.62,197.42,194.01,195.74,7439000,0.0,0.0
14/09/2020,198.34,201.33,198.14,199.93,11730500,0.0,0.0
15/09/2020,201.66,203.08,199.73,200.33,6328600,0.0,0.0
16/09/2020,201.65,202.63,199.9,200.08,6135000,0.0,0.0
17/09/2020,197.85,200.52,197.02,200.21,7474900,0.0,0.0
18/09/2020,200.41,200.65,196.75,197.62,9084100,0.0,0.0
21/09/2020,194.99,196.29,189.9,192.59,9656000,0.0,0.0
22/09/2020,193.21,195.77,191.95,195.62,7543100,0.0,0.0
23/09/2020,195.85,196.14,189.78,190.56,6310600,0.0,0.0
24/09/2020,190.34,192.8,188.37,190.7,9865300,0.0,0.0
25/09/2020,190.22,193.26,188.74,192.39,5496100,0.0,0.0
28/09/2020,195.69,196.75,194.91,195.39,5565300,0.0,0.0
29/09/2020,195.64,197.4,194.46,194.53,5513500,0.0,0.0
30/09/2020,195.9,197.55,193.99,195.04,9157600,0.0,0.0
01/10/2020,197.23,200.15,196.67,198.34,7234600,0.0,0.0
02/10/2020,195.07,197.83,194.49,196.5,6019700,0.0,0.0
05/10/2020,197.72,198.63,196.1,198.53,6090500,0.0,0.0
06/10/2020,199.08,200.05,194.79,195.51,5841100,0.0,0.0
07/10/2020,197.02,197.8,195.06,197.48,6713400,0.0,0.0
08/10/2020,198.98,199.27,197.25,197.98,3955600,0.0,0.0
09/10/2020,198.98,201.98,198.66,201.55,5562900,0.0,0.0
12/10/2020,201.84,202.85,200.66,201.32,6622700,0.0,0.0
13/10/2020,198.37,200.16,198.03,199.29,5621700,0.0,0.0
14/10/2020,199.67,199.92,196.18,197.22,5320000,0.0,0.0
15/10/2020,196.06,199.66,192.73,194.64,8885500,0.0,0.0
16/10/2020,195.06,197.66,194.5,195.33,6385900,0.0,0.0
19/10/2020,195.9,196.12,191.66,192.12,7449600,0.0,0.0
20/10/2020,192.68,194.74,191.87,192.83,7427000,0.0,0.0
21/10/2020,192.96,195.48,192.96,193.54,6067200,0.0,0.0
22/10/2020,194.43,194.85,190.94,193.11,4908200,0.0,0.0
23/10/2020,194.83,194.96,191.19,193.13,5877200,0.0,0.0
26/10/2020,191.17,191.58,186.02,188.31,12608700,0.0,0.0
27/10/2020,188.25,188.93,184.56,185.38,8690400,0.0,0.0
28/10/2020,179.45,180.15,174.92,176.42,17809500,0.0,0.0
29/10/2020,178.49,182.39,174.92,180.32,16820900,0.0,0.0
30/10/2020,178.16,179.68,174.82,177.23,10252900,0.0,0.0
02/11/2020,179.97,182.32,179.36,180.19,8057100,0.0,0.0
03/11/2020,182.23,184.86,180.6,183.7,6467900,0.0,0.0
04/11/2020,188.14,192.03,186.81,189.19,8102700,0.0,0.0
05/11/2020,193.47,196.04,192.43,192.77,7132100,0.0,0.0
06/11/2020,192.49,194.76,190.62,193.58,6180500,0.0,0.0
09/11/2020,209.4,212.29,207.05,207.44,17916900,0.0,0.0
10/11/2020,206.72,208.79,205.36,208.06,7943600,0.0,0.0
11/11/2020,206.94,209.0,206.46,207.46,5337200,0.0,0.0
12/11/2020,206.53,207.62,202.34,203.44,7302500,0.32,0.0
13/11/2020,205.05,206.39,202.5,205.61,6377500,0.0,0.0
16/11/2020,209.6,210.11,206.92,207.77,12083200,0.0,0.0
17/11/2020,205.68,207.18,204.65,205.83,7268800,0.0,0.0
18/11/2020,204.86,206.26,202.86,203.02,6977900,0.0,0.0
19/11/2020,202.44,203.9,200.77,202.76,5657200,0.0,0.0
20/11/2020,202.33,203.29,199.09,199.16,9653500,0.0,0.0
23/11/2020,199.96,204.16,199.96,203.34,6101900,0.0,0.0
24/11/2020,205.97,208.87,204.55,204.82,10110800,0.0,0.0
25/11/2020,204.81,207.04,204.03,206.01,6772900,0.0,0.0
27/11/2020,207.09,207.12,203.97,206.11,3512900,0.0,0.0
30/11/2020,204.69,205.66,201.82,205.48,7725500,0.0,0.0
01/12/2020,207.22,208.72,206.15,206.31,8047900,0.0,0.0
02/12/2020,206.11,206.5,203.65,205.31,9728900,0.0,0.0
03/12/2020,204.92,206.22,202.8,203.23,9203300,0.0,0.0
04/12/2020,204.88,207.79,203.68,207.75,5720100,0.0,0.0
07/12/2020,207.06,209.53,206.89,207.72,10624500,0.0,0.0
08/12/2020,205.09,208.19,205.03,207.84,8646200,0.0,0.0
09/12/2020,208.29,208.56,204.11,204.73,6251100,0.0,0.0
10/12/2020,203.68,204.45,202.45,202.8,10492000,0.0,0.0
11/12/2020,200.6,202.1,199.76,201.46,9227600,0.0,0.0
14/12/2020,203.04,206.41,202.18,202.45,11967700,0.0,0.0
15/12/2020,203.71,204.59,201.39,203.53,9796100,0.0,0.0
16/12/2020,203.65,204.29,202.34,203.45,7504400,0.0,0.0
17/12/2020,204.16,206.88,204.01,206.29,6517200,0.0,0.0
18/12/2020,206.13,207.07,205.01,206.42,13298200,0.0,0.0
21/12/2020,203.45,204.94,200.05,204.17,7576700,0.0,0.0
22/12/2020,203.56,203.57,200.84,201.07,7396200,0.0,0.0
23/12/2020,202.53,202.53,200.36,200.55,6523100,0.0,0.0
24/12/2020,201.85,203.98,201.82,203.87,3367900,0.0,0.0
28/12/2020,204.99,208.52,204.11,207.71,5816200,0.0,0.0
29/12/2020,209.64,210.26,208.59,209.41,6093400,0.0,0.0
30/12/2020,211.0,215.29,210.66,213.3,8875100,0.0,0.0
31/12/2020,213.34,214.73,211.19,213.66,5922200,0.0,0.0
04/01/2021,215.15,215.15,209.28,212.72,10318300,0.0,0.0
05/01/2021,211.3,213.4,208.69,209.54,6869700,0.0,0.0
06/01/2021,208.85,211.16,207.16,207.7,7206200,0.0,0.0
07/01/2021,207.29,210.24,207.29,208.86,10967900,0.0,0.0
08/01/2021,209.21,211.11,207.82,210.46,6513000,0.0,0.0
11/01/2021,209.0,209.88,207.56,207.96,7353100,0.0,0.0
