Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,23.8,24.35,21.86,22.42,8243700,0.0,0.0
01/05/2020,22.11,22.11,21.25,21.67,4044500,0.0,0.0
04/05/2020,21.33,21.97,20.92,21.87,5692300,0.0,0.0
05/05/2020,21.96,22.11,21.13,21.25,7110500,0.0,0.0
06/05/2020,21.6,21.79,20.2,20.85,11838600,0.0,0.0
07/05/2020,21.22,22.03,20.4,20.53,7390000,0.0,0.0
08/05/2020,21.03,21.51,20.79,21.09,6249500,0.0,0.0
11/05/2020,20.81,20.92,19.76,20.33,7499000,0.0,0.0
12/05/2020,20.38,20.53,19.75,19.78,6685200,0.0,0.0
13/05/2020,19.71,19.73,18.7,19.13,6004900,0.0,0.0
14/05/2020,18.88,20.56,18.56,20.54,12729100,0.0,0.0
15/05/2020,20.2,20.74,19.96,20.47,4705800,0.0,0.0
18/05/2020,21.13,21.63,20.93,21.28,5497000,0.0,0.0
19/05/2020,21.15,21.49,20.71,21.05,3934500,0.0,0.0
20/05/2020,21.41,21.78,21.0,21.17,3251900,0.0,0.0
21/05/2020,21.07,21.29,20.61,20.67,4314300,0.0,0.0
22/05/2020,20.75,20.95,20.21,20.3,4316600,0.0,0.0
26/05/2020,21.11,22.06,20.86,21.92,5659700,0.0,0.0
27/05/2020,22.26,23.1,22.07,22.62,6310900,0.0,0.0
28/05/2020,22.83,22.92,21.88,21.97,4259200,0.0,0.0
29/05/2020,21.61,21.87,21.04,21.75,5733800,0.0,0.0
01/06/2020,21.81,22.23,21.72,21.95,2886800,0.0,0.0
02/06/2020,22.34,22.37,21.76,21.83,4079400,0.0,0.0
03/06/2020,22.14,22.8,22.13,22.27,4604000,0.0,0.0
04/06/2020,22.23,23.12,21.81,23.09,4290800,0.0,0.0
05/06/2020,24.16,24.89,23.72,24.78,8410000,0.0,0.0
08/06/2020,25.09,26.27,25.04,26.15,8251400,0.0,0.0
09/06/2020,25.3,25.53,23.51,23.88,6824500,0.0,0.0
10/06/2020,23.77,23.89,22.73,23.17,4017200,0.0,0.0
11/06/2020,21.77,22.7,21.64,22.34,7020600,0.0,0.0
12/06/2020,23.18,23.22,21.38,22.07,6885900,0.0,0.0
15/06/2020,21.42,23.15,21.21,22.75,5444900,0.0,0.0
16/06/2020,23.53,23.69,21.44,22.26,7255200,0.0,0.0
17/06/2020,22.27,22.6,21.77,22.17,3807500,0.0,0.0
18/06/2020,21.97,22.63,21.82,22.52,2855900,0.0,0.0
19/06/2020,22.34,22.96,22.05,22.15,5102800,0.0,0.0
22/06/2020,21.88,21.97,21.02,21.84,6120100,0.0,0.0
23/06/2020,22.14,22.55,21.88,22.16,3504100,0.0,0.0
24/06/2020,21.92,21.92,21.09,21.72,4295300,0.0,0.0
25/06/2020,21.51,21.54,20.82,21.26,4238600,0.0,0.0
26/06/2020,21.02,21.17,19.95,20.26,5675800,0.0,0.0
29/06/2020,20.32,21.3,20.13,21.23,4740900,0.0,0.0
30/06/2020,21.18,21.33,20.82,21.1,3462400,0.0,0.0
01/07/2020,21.23,21.8,20.97,21.07,4210100,0.0,0.0
02/07/2020,21.51,21.75,20.7,20.79,3699200,0.0,0.0
06/07/2020,21.27,21.37,20.73,21.24,5097400,0.0,0.0
07/07/2020,21.04,21.07,20.27,20.36,3862500,0.0,0.0
08/07/2020,20.38,20.44,19.99,20.22,4261900,0.0,0.0
09/07/2020,20.21,20.23,19.11,19.25,6459800,0.0,0.0
10/07/2020,19.25,20.37,19.21,20.23,5275800,0.0,0.0
13/07/2020,20.36,20.93,19.71,20.52,6806300,0.0,0.0
14/07/2020,20.21,20.95,20.1,20.65,2873100,0.0,0.0
15/07/2020,20.92,22.05,20.91,21.78,6513600,0.0,0.0
16/07/2020,21.57,22.12,21.49,22.02,3763200,0.0,0.0
17/07/2020,21.77,22.22,21.38,21.42,2707500,0.0,0.0
20/07/2020,21.25,21.41,20.57,20.77,3975100,0.0,0.0
21/07/2020,20.95,21.44,20.83,20.98,2812000,0.0,0.0
22/07/2020,20.96,21.35,20.76,21.11,2178500,0.0,0.0
23/07/2020,21.14,21.56,21.02,21.35,2780900,0.0,0.0
24/07/2020,21.45,21.69,20.86,21.15,2344200,0.0,0.0
27/07/2020,21.12,21.17,20.64,20.88,1861400,0.0,0.0
28/07/2020,20.19,21.02,20.19,20.78,2604200,0.0,0.0
29/07/2020,20.87,21.1,20.63,21.0,1756100,0.0,0.0
30/07/2020,20.7,21.24,20.55,21.15,2603900,0.0,0.0
31/07/2020,21.06,21.12,20.69,21.1,2581900,0.0,0.0
03/08/2020,21.18,21.45,20.83,21.34,3774500,0.0,0.0
04/08/2020,21.48,22.55,21.3,22.01,6025100,0.0,0.0
05/08/2020,23.0,23.0,21.06,21.12,8065300,0.0,0.0
06/08/2020,21.1,21.79,21.07,21.63,6525200,0.0,0.0
07/08/2020,21.56,21.91,20.88,20.98,6863700,0.0,0.0
10/08/2020,21.1,21.84,21.1,21.78,4900600,0.0,0.0
11/08/2020,21.98,23.67,21.95,22.48,7525200,0.0,0.0
12/08/2020,22.8,22.84,21.81,21.82,3153400,0.0,0.0
13/08/2020,21.68,22.12,21.53,21.97,2462400,0.0,0.0
14/08/2020,21.93,22.73,21.85,22.62,2470100,0.0,0.0
17/08/2020,22.47,22.54,21.7,22.09,2614800,0.0,0.0
18/08/2020,22.14,22.29,21.94,22.06,2199000,0.0,0.0
19/08/2020,22.36,22.51,22.06,22.22,1967400,0.0,0.0
20/08/2020,22.02,22.38,21.89,22.13,2768000,0.0,0.0
21/08/2020,22.0,22.16,21.77,21.99,2042700,0.0,0.0
24/08/2020,21.94,22.88,21.89,22.81,3604400,0.0,0.0
25/08/2020,22.93,23.01,22.38,22.86,3359600,0.0,0.0
26/08/2020,22.89,23.05,22.57,22.77,2597200,0.0,0.0
27/08/2020,22.77,23.12,22.65,22.86,3296500,0.0,0.0
28/08/2020,22.88,22.98,22.69,22.88,3012800,0.0,0.0
31/08/2020,22.8,22.95,21.99,22.07,4060200,0.0,0.0
01/09/2020,22.04,22.04,21.27,21.42,4101100,0.0,0.0
02/09/2020,21.3,22.13,21.22,21.81,4066100,0.0,0.0
03/09/2020,21.97,22.68,21.46,21.64,5404400,0.0,0.0
04/09/2020,21.88,22.88,21.8,22.81,9453100,0.0,0.0
08/09/2020,22.57,23.2,22.43,22.5,5360100,0.0,0.0
09/09/2020,22.52,23.19,22.12,23.06,4488500,0.0,0.0
10/09/2020,23.23,23.8,23.23,23.45,5316900,0.0,0.0
11/09/2020,23.41,23.58,22.55,22.83,5007600,0.0,0.0
14/09/2020,23.0,23.89,22.91,23.77,5051900,0.0,0.0
15/09/2020,23.85,24.12,23.64,23.82,3402000,0.0,0.0
16/09/2020,23.94,24.77,23.89,24.27,3517100,0.0,0.0
17/09/2020,24.05,24.68,23.89,24.2,4015500,0.0,0.0
18/09/2020,24.04,24.32,23.76,23.88,5109500,0.0,0.0
21/09/2020,23.43,23.52,22.29,22.42,4096500,0.0,0.0
22/09/2020,22.42,22.77,22.18,22.33,2466500,0.0,0.0
23/09/2020,22.0,22.58,21.09,21.12,3930700,0.0,0.0
24/09/2020,21.21,21.55,20.79,21.32,3377200,0.0,0.0
25/09/2020,21.07,21.42,20.87,21.33,2414600,0.0,0.0
28/09/2020,21.75,22.12,21.56,21.95,3105700,0.0,0.0
29/09/2020,21.93,22.13,21.59,21.75,2295800,0.0,0.0
30/09/2020,21.89,22.3,21.64,21.77,2872700,0.0,0.0
01/10/2020,21.89,22.02,21.24,21.51,3595600,0.0,0.0
02/10/2020,21.15,21.6,21.06,21.5,2568400,0.0,0.0
