Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,43.42,44.97,43.29,44.71,3994700,0.0,0.0
01/05/2020,42.55,42.55,40.97,41.3,3325700,0.0,0.0
04/05/2020,40.65,42.23,39.92,42.17,2199000,0.0,0.0
05/05/2020,42.91,43.73,41.91,42.06,4909500,0.0,0.0
06/05/2020,42.15,42.32,39.46,39.55,3521800,0.0,0.0
07/05/2020,38.01,40.92,36.05,36.65,10992400,0.0,0.0
08/05/2020,36.79,39.08,35.56,38.88,6798900,0.0,0.0
11/05/2020,38.29,39.31,36.65,36.7,5063400,0.0,0.0
12/05/2020,36.77,37.02,34.02,34.71,7700800,0.0,0.0
13/05/2020,34.13,34.79,32.73,33.13,6717000,0.0,0.0
14/05/2020,32.11,35.26,31.49,35.2,5266400,0.0,0.0
15/05/2020,34.72,35.72,34.41,35.47,7250400,0.0,0.0
18/05/2020,37.4,40.41,37.4,39.98,5163000,0.61,0.0
19/05/2020,39.97,40.89,38.58,40.05,3241700,0.0,0.0
20/05/2020,40.03,40.75,39.55,40.53,3423100,0.0,0.0
21/05/2020,40.53,41.52,40.19,41.13,3393900,0.0,0.0
22/05/2020,41.14,42.4,40.94,42.37,2387400,0.0,0.0
26/05/2020,46.16,46.95,44.32,45.29,5301800,0.0,0.0
27/05/2020,47.19,47.82,45.33,45.97,4426300,0.0,0.0
28/05/2020,46.53,46.8,44.95,45.49,3907600,0.0,0.0
29/05/2020,44.63,45.67,43.56,44.89,7484100,0.0,0.0
01/06/2020,44.71,47.35,44.56,47.02,3817800,0.0,0.0
02/06/2020,47.73,48.87,47.29,48.53,3958600,0.0,0.0
03/06/2020,49.38,52.57,49.16,52.25,3951600,0.0,0.0
04/06/2020,51.8,52.25,50.7,52.02,3395600,0.0,0.0
05/06/2020,55.82,57.31,53.91,54.58,6457100,0.0,0.0
08/06/2020,55.66,56.0,54.05,54.62,4718100,0.0,0.0
09/06/2020,52.57,54.27,51.86,52.8,4256000,0.0,0.0
10/06/2020,52.23,52.23,49.14,49.41,3952400,0.0,0.0
11/06/2020,45.49,47.97,44.96,45.49,5475500,0.0,0.0
12/06/2020,48.67,49.14,46.06,48.94,3748100,0.0,0.0
15/06/2020,46.75,49.93,46.47,49.72,3187500,0.0,0.0
16/06/2020,52.91,52.95,49.94,51.07,2695100,0.0,0.0
17/06/2020,51.58,51.76,49.45,49.63,2681900,0.0,0.0
18/06/2020,48.77,49.93,48.56,49.45,2115200,0.0,0.0
19/06/2020,50.41,50.41,44.46,45.18,11173700,0.0,0.0
22/06/2020,46.04,46.66,44.82,45.52,3795900,0.0,0.0
23/06/2020,45.9,46.38,45.18,45.61,1944300,0.0,0.0
24/06/2020,44.56,44.94,41.8,43.75,3551300,0.0,0.0
25/06/2020,43.33,44.52,42.77,44.48,2619500,0.0,0.0
26/06/2020,44.37,44.9,43.78,44.07,3829800,0.0,0.0
29/06/2020,44.74,45.46,43.55,45.41,1826400,0.0,0.0
30/06/2020,45.51,46.5,44.92,45.85,2983100,0.0,0.0
01/07/2020,46.24,47.93,45.78,47.52,2569200,0.0,0.0
02/07/2020,48.63,48.95,46.41,46.63,1855200,0.0,0.0
06/07/2020,48.12,48.13,46.12,46.35,1447200,0.0,0.0
07/07/2020,45.6,45.6,44.19,44.25,2267600,0.0,0.0
08/07/2020,44.32,44.7,43.67,44.33,2562200,0.0,0.0
09/07/2020,44.07,44.21,42.56,43.59,2291300,0.0,0.0
10/07/2020,43.46,44.83,43.4,44.79,2452900,0.0,0.0
13/07/2020,44.96,45.26,44.02,44.32,2069500,0.0,0.0
14/07/2020,44.39,45.17,44.06,44.25,1973500,0.0,0.0
15/07/2020,45.65,45.8,44.46,45.22,2060600,0.0,0.0
16/07/2020,44.71,45.29,43.88,44.19,2147000,0.0,0.0
17/07/2020,44.39,45.45,43.97,45.18,2188400,0.0,0.0
20/07/2020,44.72,45.14,43.49,43.68,2455400,0.0,0.0
21/07/2020,44.29,44.71,43.76,43.84,1646700,0.0,0.0
22/07/2020,43.63,46.83,43.32,46.36,3988900,0.0,0.0
23/07/2020,45.79,46.49,45.53,46.02,2079500,0.0,0.0
24/07/2020,46.27,46.7,45.31,45.56,2221400,0.0,0.0
27/07/2020,45.34,45.46,44.41,45.19,1544500,0.0,0.0
28/07/2020,45.19,47.43,45.18,47.08,2217700,0.0,0.0
29/07/2020,47.65,48.49,47.19,48.45,2861000,0.0,0.0
30/07/2020,47.39,48.6,47.14,48.3,2112500,0.0,0.0
31/07/2020,48.13,48.29,46.72,47.45,4884800,0.0,0.0
03/08/2020,46.72,47.2,45.99,46.84,2379600,0.0,0.0
04/08/2020,46.85,47.99,46.85,47.21,2809400,0.0,0.0
05/08/2020,47.75,47.87,46.66,47.09,2163400,0.0,0.0
06/08/2020,47.17,50.67,46.68,49.98,3515700,0.0,0.0
07/08/2020,49.64,51.24,49.28,50.66,3360900,0.0,0.0
10/08/2020,50.59,51.36,49.9,50.89,2421000,0.0,0.0
11/08/2020,51.63,51.9,49.91,50.17,2887800,0.0,0.0
12/08/2020,50.31,50.59,49.61,50.42,1806100,0.0,0.0
13/08/2020,50.13,51.01,49.3,49.61,1795700,0.0,0.0
14/08/2020,49.63,51.17,49.26,50.28,2100900,0.0,0.0
17/08/2020,50.65,50.65,49.68,50.14,1977400,0.61,0.0
18/08/2020,50.02,50.02,48.84,49.2,2288500,0.0,0.0
19/08/2020,49.39,49.57,48.17,48.32,2433300,0.0,0.0
20/08/2020,47.75,49.9,47.51,49.33,2201500,0.0,0.0
21/08/2020,49.58,50.36,48.91,50.27,3258900,0.0,0.0
24/08/2020,50.01,51.44,49.54,51.43,2052100,0.0,0.0
25/08/2020,51.29,51.59,50.56,51.58,3790100,0.0,0.0
26/08/2020,51.34,51.56,49.51,50.02,2350300,0.0,0.0
27/08/2020,49.8,51.96,49.8,51.87,2786500,0.0,0.0
28/08/2020,51.96,53.26,51.17,53.24,2425300,0.0,0.0
31/08/2020,52.81,53.05,51.44,51.51,2627800,0.0,0.0
01/09/2020,51.05,52.19,50.61,52.06,1386900,0.0,0.0
02/09/2020,52.07,53.83,51.45,53.74,2724100,0.0,0.0
03/09/2020,53.87,55.08,53.2,54.14,2828400,0.0,0.0
04/09/2020,54.26,54.97,53.24,54.74,3447500,0.0,0.0
08/09/2020,54.42,55.35,53.73,53.78,3370500,0.0,0.0
09/09/2020,54.21,55.29,53.53,54.53,2326200,0.0,0.0
10/09/2020,54.03,54.95,53.58,53.61,1787900,0.0,0.0
11/09/2020,53.6,54.0,52.14,52.72,2518100,0.0,0.0
14/09/2020,53.29,54.11,53.21,53.84,2796300,0.0,0.0
15/09/2020,53.62,55.03,53.62,54.37,4107900,0.0,0.0
