Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,93.79,94.12,92.03,93.81,1823600,0.0,0.0
01/05/2020,92.53,92.53,91.05,92.11,1601800,0.0,0.0
04/05/2020,91.74,93.64,91.23,93.38,1680300,0.0,0.0
05/05/2020,93.73,94.21,92.49,92.87,3045000,0.0,0.0
06/05/2020,94.26,94.36,89.79,90.79,4564100,0.0,0.0
07/05/2020,92.34,96.0,92.01,95.15,2504000,0.0,0.0
08/05/2020,95.63,96.55,94.1,94.7,1761600,0.0,0.0
11/05/2020,93.8,94.95,93.1,94.26,1487400,0.0,0.0
12/05/2020,94.72,94.72,92.09,92.21,2141900,0.0,0.0
13/05/2020,92.15,92.67,90.12,90.53,2246500,0.0,0.0
14/05/2020,89.86,91.3,88.29,91.15,2324200,0.0,0.0
15/05/2020,90.38,91.28,89.21,89.97,3174000,0.0,0.0
18/05/2020,92.58,94.29,92.08,93.47,2943700,0.0,0.0
19/05/2020,93.18,93.83,92.2,92.23,1773000,0.0,0.0
20/05/2020,92.93,94.32,92.0,93.28,1601800,0.0,0.0
21/05/2020,92.89,93.89,92.51,92.79,1361800,0.0,0.0
22/05/2020,92.74,92.85,92.04,92.78,1079000,0.0,0.0
26/05/2020,94.33,96.16,94.27,95.29,2088000,0.0,0.0
27/05/2020,96.31,98.01,96.07,97.82,2842100,0.0,0.0
28/05/2020,98.81,100.61,98.57,99.89,2681400,0.0,0.0
29/05/2020,100.5,100.78,99.56,100.12,3078800,0.0,0.0
01/06/2020,100.36,100.46,99.37,99.43,1629000,0.0,0.0
02/06/2020,99.44,101.32,99.0,100.76,1773400,0.0,0.0
03/06/2020,101.62,103.81,101.06,103.37,2336100,0.0,0.0
04/06/2020,102.74,103.33,100.96,101.79,1728000,0.545,0.0
05/06/2020,103.62,106.32,102.5,105.76,2931700,0.0,0.0
08/06/2020,105.44,107.05,105.06,107.01,2422300,0.0,0.0
09/06/2020,105.62,105.95,103.92,104.86,2820200,0.0,0.0
10/06/2020,105.28,105.42,102.7,103.05,2109900,0.0,0.0
11/06/2020,101.01,101.48,97.2,97.27,2826000,0.0,0.0
12/06/2020,99.37,100.12,96.01,97.92,2581500,0.0,0.0
15/06/2020,95.8,99.42,95.72,98.49,2064200,0.0,0.0
16/06/2020,100.86,101.39,98.34,99.63,2094200,0.0,0.0
17/06/2020,100.48,100.52,99.21,99.63,1254700,0.0,0.0
18/06/2020,99.23,99.63,98.14,98.63,1200900,0.0,0.0
19/06/2020,100.17,100.6,95.89,95.93,3413300,0.0,0.0
22/06/2020,96.09,97.83,95.28,97.75,2161100,0.0,0.0
23/06/2020,98.55,98.91,97.08,97.9,1954000,0.0,0.0
24/06/2020,97.48,97.6,95.45,95.55,2893400,0.0,0.0
25/06/2020,95.2,97.13,94.68,96.51,3195700,0.0,0.0
26/06/2020,96.58,97.52,96.24,96.91,5907700,0.0,0.0
29/06/2020,97.64,97.91,96.49,97.61,1952200,0.0,0.0
30/06/2020,97.59,100.2,97.42,99.83,1929300,0.0,0.0
01/07/2020,99.83,100.26,98.71,99.06,1255000,0.0,0.0
02/07/2020,99.6,100.06,98.74,98.94,1438600,0.0,0.0
06/07/2020,99.72,100.0,98.42,99.17,1868200,0.0,0.0
07/07/2020,98.71,99.22,98.33,98.61,1585000,0.0,0.0
08/07/2020,98.08,98.51,96.6,97.2,1728400,0.0,0.0
09/07/2020,96.97,97.09,95.15,96.22,2029500,0.0,0.0
10/07/2020,96.16,97.9,96.16,97.86,1189200,0.0,0.0
13/07/2020,98.34,99.39,97.76,98.34,2439500,0.0,0.0
14/07/2020,98.5,100.13,98.46,100.1,1811800,0.0,0.0
15/07/2020,100.78,101.22,100.17,100.66,2015600,0.0,0.0
16/07/2020,100.47,101.94,100.4,101.29,1637200,0.0,0.0
17/07/2020,101.72,103.11,101.22,102.46,3224700,0.0,0.0
20/07/2020,102.04,102.17,100.19,100.45,1407600,0.0,0.0
21/07/2020,100.79,102.12,100.64,101.35,1266700,0.0,0.0
22/07/2020,100.89,102.25,100.47,102.0,1239700,0.0,0.0
23/07/2020,102.17,102.8,101.33,101.83,1497200,0.0,0.0
24/07/2020,102.44,102.7,100.9,101.12,1224000,0.0,0.0
27/07/2020,101.33,101.39,100.47,100.92,1214000,0.0,0.0
28/07/2020,100.64,101.82,100.64,101.35,1402000,0.0,0.0
29/07/2020,101.95,103.81,101.71,103.35,1466100,0.0,0.0
30/07/2020,102.31,103.36,101.14,103.1,1873100,0.0,0.0
31/07/2020,102.56,103.33,102.04,103.31,1467500,0.0,0.0
03/08/2020,103.65,103.65,102.41,102.72,1486100,0.0,0.0
04/08/2020,102.17,102.71,101.81,102.57,1276100,0.0,0.0
05/08/2020,103.01,103.62,102.47,102.91,1522000,0.0,0.0
06/08/2020,102.89,104.07,102.89,104.03,1437100,0.0,0.0
07/08/2020,103.77,106.73,103.77,106.25,1867400,0.0,0.0
10/08/2020,105.84,106.23,104.6,105.2,1770900,0.0,0.0
11/08/2020,105.66,105.94,104.49,105.18,1563300,0.0,0.0
12/08/2020,105.6,106.26,105.18,105.8,1506400,0.0,0.0
13/08/2020,104.96,105.3,104.17,104.95,891200,0.0,0.0
