Date,Close,Open,High,Low,Volume,Change %
30/04/2020,26.69,27.02,27.63,26.26,10590000,-1.40%
01/05/2020,26.38,26.18,26.88,25.32,8070000,-1.16%
04/05/2020,27.2,26.55,27.45,26.16,6980000,3.11%
05/05/2020,27.29,27.65,27.88,26.83,6910000,0.33%
06/05/2020,27.63,27.5,28.19,27.33,6960000,1.25%
07/05/2020,29.95,28.0,30.07,27.9,20940000,8.40%
08/05/2020,31.16,30.94,31.69,30.18,24750000,4.04%
11/05/2020,31.26,31.04,31.92,30.06,19920000,0.32%
12/05/2020,31.01,31.8,32.15,30.39,16480000,-0.80%
13/05/2020,30.2,31.3,31.95,29.23,20130000,-2.61%
14/05/2020,31.66,29.88,31.72,29.75,12440000,4.83%
15/05/2020,31.33,31.89,32.85,31.13,14100000,-1.04%
18/05/2020,29.0,31.3,31.36,28.76,16960000,-7.44%
19/05/2020,29.69,29.25,30.44,29.04,10370000,2.38%
20/05/2020,31.35,30.17,31.37,30.08,8870000,5.59%
21/05/2020,31.64,31.58,32.06,30.68,9150000,0.93%
22/05/2020,31.71,32.01,32.08,31.07,12010000,0.22%
26/05/2020,32.41,32.05,33.28,31.64,15960000,2.21%
27/05/2020,32.11,32.28,32.28,30.48,14410000,-0.93%
28/05/2020,32.54,32.2,33.72,32.03,11730000,1.34%
29/05/2020,35.05,33.74,35.11,33.27,33700000,7.71%
01/06/2020,37.18,35.68,37.33,35.25,18400000,6.08%
02/06/2020,38.38,38.65,38.65,36.18,37200000,3.23%
03/06/2020,39.9,38.43,39.98,38.02,26180000,3.96%
04/06/2020,37.94,39.97,39.97,37.68,55100000,-4.91%
05/06/2020,32.56,31.92,33.59,30.53,91770000,-14.18%
08/06/2020,32.01,32.08,32.13,30.55,37760000,-1.69%
09/06/2020,31.32,31.86,32.0,30.88,17850000,-2.16%
10/06/2020,32.47,31.68,32.59,31.33,20480000,3.67%
11/06/2020,30.34,31.6,32.75,29.72,27090000,-6.56%
12/06/2020,30.86,31.1,31.23,29.54,18800000,1.71%
15/06/2020,30.87,29.85,31.14,29.67,17140000,0.03%
16/06/2020,32.36,31.14,32.6,30.68,20960000,4.83%
17/06/2020,32.4,32.58,33.34,32.21,19330000,0.12%
18/06/2020,34.22,31.93,34.66,31.93,27460000,5.62%
19/06/2020,33.13,32.56,34.09,32.05,41770000,-3.19%
22/06/2020,34.21,33.3,34.21,33.15,19930000,3.26%
23/06/2020,34.04,34.2,34.25,33.13,20380000,-0.50%
24/06/2020,31.97,33.9,34.26,31.67,27220000,-6.08%
25/06/2020,32.82,32.07,33.07,31.2,24370000,2.66%
26/06/2020,32.53,32.74,33.56,31.76,38310000,-0.88%
29/06/2020,30.87,32.52,32.52,30.16,20320000,-5.10%
30/06/2020,31.09,30.92,31.46,30.71,12490000,0.71%
01/07/2020,31.06,30.71,31.23,30.61,11380000,-0.10%
02/07/2020,30.31,31.15,31.29,30.09,16950000,-2.41%
06/07/2020,31.12,30.54,31.64,30.2,13610000,2.67%
07/07/2020,31.48,31.21,31.77,30.66,10800000,1.16%
08/07/2020,34.24,31.77,34.24,31.63,24960000,8.77%
09/07/2020,34.02,33.8,34.08,31.92,27170000,-0.64%
10/07/2020,33.84,34.18,34.26,33.17,12100000,-0.53%
13/07/2020,33.42,34.33,36.23,33.25,35000000,-1.24%
14/07/2020,32.37,32.34,32.65,30.92,27750000,-3.14%
15/07/2020,32.12,32.1,32.23,31.26,14200000,-0.77%
16/07/2020,31.61,31.88,31.95,30.86,11050000,-1.59%
17/07/2020,32.11,32.13,32.47,31.35,10540000,1.58%
20/07/2020,33.29,32.26,33.45,32.1,12130000,3.67%
21/07/2020,32.61,33.76,33.78,32.51,12820000,-2.04%
22/07/2020,30.94,32.8,32.87,30.75,20250000,-5.12%
23/07/2020,30.35,30.85,31.71,30.05,14910000,-1.91%
24/07/2020,29.72,29.98,30.0,28.82,16250000,-2.08%
27/07/2020,29.37,29.88,29.88,28.97,13550000,-1.18%
28/07/2020,28.75,29.14,29.45,28.51,14340000,-2.11%
29/07/2020,28.6,28.95,29.03,28.45,11040000,-0.52%
30/07/2020,28.77,28.42,29.05,28.02,8520000,0.59%
31/07/2020,29.55,28.98,29.63,28.37,14140000,2.71%
03/08/2020,30.5,29.87,30.74,29.67,18790000,3.21%
04/08/2020,30.54,30.65,30.72,30.09,8820000,0.13%
05/08/2020,30.01,30.46,30.49,29.6,9500000,-1.74%
06/08/2020,30.09,30.0,31.25,29.64,14510000,0.27%
07/08/2020,28.95,30.0,30.12,28.3,15370000,-3.79%
10/08/2020,28.12,29.07,29.11,27.57,14220000,-2.87%
11/08/2020,27.61,27.89,28.2,27.53,9760000,-1.81%
12/08/2020,27.85,27.93,28.48,27.55,9560000,0.87%
13/08/2020,28.24,28.01,28.57,27.88,6690000,1.40%
14/08/2020,28.36,28.37,28.8,28.22,4770000,0.42%
17/08/2020,28.24,28.5,28.78,27.57,9520000,-0.42%
18/08/2020,28.41,28.27,28.69,28.06,8110000,0.60%
19/08/2020,28.57,28.45,28.9,28.29,6340000,0.56%
20/08/2020,29.98,28.53,30.1,28.47,12260000,4.94%
21/08/2020,29.08,30.06,30.3,29.08,8270000,-3.00%
24/08/2020,28.29,29.39,29.4,28.15,11290000,-2.72%
25/08/2020,28.57,28.09,28.84,27.78,8680000,0.99%
26/08/2020,30.23,28.98,31.01,28.92,19020000,5.81%
27/08/2020,30.85,30.35,31.2,30.04,12680000,2.05%
28/08/2020,31.91,31.04,32.24,31.0,12370000,3.44%
31/08/2020,32.84,32.04,32.85,31.72,15970000,2.91%
01/09/2020,34.3,34.38,34.81,33.57,26280000,4.45%
02/09/2020,33.65,34.95,35.0,33.12,20950000,-1.90%
03/09/2020,30.98,32.08,32.64,30.23,19090000,-7.93%
04/09/2020,29.07,30.8,31.12,28.0,22010000,-6.17%
08/09/2020,29.32,28.35,30.54,28.09,41260000,0.86%
09/09/2020,25.24,24.77,25.82,24.21,85200000,-13.92%
10/09/2020,25.9,25.46,26.25,25.46,32580000,2.61%
11/09/2020,25.66,26.27,26.59,25.09,20590000,-0.93%
