Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
30/04/2020,38.73,39.04,37.53,37.77,2172900,0.0,0.0
01/05/2020,37.54,37.54,36.32,36.51,811400,0.0,0.0
04/05/2020,36.22,37.43,36.15,37.26,969800,0.0,0.0
05/05/2020,37.44,38.57,37.24,37.93,789600,0.0,0.0
06/05/2020,37.77,37.85,36.6,36.76,739900,0.0,0.0
07/05/2020,36.61,38.21,36.2,36.63,927600,0.0,0.0
08/05/2020,36.99,37.25,35.58,36.43,1316400,0.0,0.0
11/05/2020,36.15,36.51,35.54,36.3,1943600,0.0,0.0
12/05/2020,36.35,36.56,35.33,35.45,1546900,0.0,0.0
13/05/2020,35.27,35.27,34.22,35.08,905200,0.0,0.0
14/05/2020,34.66,35.94,33.98,35.75,1440700,0.234,0.0
15/05/2020,35.53,35.73,34.91,35.56,2734400,0.0,0.0
18/05/2020,36.6,37.85,36.6,37.49,1129100,0.0,0.0
19/05/2020,37.54,37.69,36.25,36.28,862500,0.0,0.0
20/05/2020,36.66,37.13,36.34,36.84,788600,0.0,0.0
21/05/2020,36.76,37.45,36.74,37.31,991100,0.0,0.0
22/05/2020,37.16,37.49,36.94,37.31,547700,0.0,0.0
26/05/2020,38.01,38.37,37.33,37.56,1047600,0.0,0.0
27/05/2020,38.19,38.26,37.56,38.12,782400,0.0,0.0
28/05/2020,38.62,39.31,38.34,39.07,870300,0.0,0.0
29/05/2020,39.02,39.92,38.66,39.79,2535100,0.0,0.0
01/06/2020,39.87,40.1,39.26,39.28,1475200,0.0,0.0
02/06/2020,39.37,40.42,39.06,40.41,967900,0.0,0.0
03/06/2020,40.24,41.57,40.24,41.02,1149200,0.0,0.0
04/06/2020,40.5,40.76,40.04,40.47,835200,0.0,0.0
05/06/2020,40.88,42.32,40.81,41.53,1019200,0.0,0.0
08/06/2020,41.72,42.42,41.4,42.38,1176000,0.0,0.0
09/06/2020,41.87,42.23,41.41,41.88,1119000,0.0,0.0
10/06/2020,42.01,42.53,41.24,41.57,848000,0.0,0.0
11/06/2020,40.79,40.95,39.45,39.59,1078300,0.0,0.0
12/06/2020,40.55,40.61,39.32,39.98,1242500,0.0,0.0
15/06/2020,39.2,41.16,38.76,40.62,1606500,0.0,0.0
16/06/2020,41.46,41.68,39.87,39.99,1311800,0.0,0.0
17/06/2020,40.0,40.1,39.44,39.64,1407200,0.0,0.0
18/06/2020,39.4,39.92,38.95,39.65,1847500,0.0,0.0
19/06/2020,39.93,40.5,38.2,38.2,4815700,0.0,0.0
22/06/2020,38.19,38.57,37.66,38.17,1585200,0.0,0.0
23/06/2020,38.53,39.02,37.75,37.86,1743300,0.0,0.0
24/06/2020,37.69,38.19,37.31,37.67,1068000,0.0,0.0
25/06/2020,37.31,37.48,36.41,37.05,955400,0.0,0.0
26/06/2020,36.96,37.7,36.82,37.41,1828600,0.0,0.0
29/06/2020,37.82,38.08,37.42,37.89,870500,0.0,0.0
30/06/2020,37.93,38.64,37.76,38.41,1678400,0.0,0.0
01/07/2020,38.41,39.61,38.34,39.38,752900,0.0,0.0
02/07/2020,39.75,39.96,39.4,39.5,664000,0.0,0.0
06/07/2020,40.01,40.52,39.51,39.72,606400,0.0,0.0
07/07/2020,39.36,39.44,38.81,39.01,547800,0.0,0.0
08/07/2020,38.87,39.38,38.84,39.19,727500,0.0,0.0
09/07/2020,38.86,38.95,38.1,38.67,470100,0.0,0.0
10/07/2020,38.73,39.36,38.54,39.36,476600,0.0,0.0
13/07/2020,39.47,40.08,39.2,39.44,847900,0.0,0.0
14/07/2020,39.43,39.74,38.63,39.45,1034800,0.0,0.0
