Date,WM,EXR,NFLX,MDT,CWEN,WELL,MCO,AVGO,INTU,NKE,BTBT,GMRE,SPGI,RIOT,NET,MA,T,NYMT,UNH,UNP,AOS,ABBV,PBCT,CRM,AMAT,HI,SCI,DLR,DIS,TGT,JPM,SBNY,NEE,MTB,VICI,BYND,WTRG,PETS,CMCSA,UBER,AMT,AAPL,ADBE,HRZN,SNOW,MRK,EXPE,AWR,CAT,NLY,MMM,WORK,HON,STOR,RITM,STX,GOOD,COST,JNJ,CVS,OHI,VZ,LVGO,CWEN-A,GOOGL,SICP,O,QCOM,META,PSA,V,FSLY,HD,ECL,LTC,WBD,ONL,HASI,NG,SPG,ICE,SEDG,CRON
30/04/2020,93.81,77.39,419.85,88.15,16.85,44.71,235.59,243.03,263.46,83.95,1.48,7.9,282.94,1.21,23.56,269.29,17.13,5.65,277.2,146.49,39.62,70.06,12.69,161.95,47.85,19.35,34.52,130.4,107.8,100.48,85.76,102.56,52.66,97.87,14.42,98.99,37.77,33.09,34.37,30.27,216.74,71.64,353.64,6.65,,67.28,70.98,73.89,107.18,15.48,127.47,26.69,131.39,17.76,4.26,42.92,11.6,280.91,134.58,55.45,21.1,46.71,40.01,15.25,67.33,15.9,44.65,72.01,204.49,157.59,173.76,21.65,200.99,185.64,27.94,22.42,,23.9,11.19,53.56,85.12,111.59,5.94
01/05/2020,92.11,76.44,415.27,85.9,16.4,41.3,233.6,232.36,254.99,82.37,1.46,7.32,276.35,1.07,22.84,263.18,16.8,5.39,269.65,143.61,38.94,70.6,11.97,156.37,45.16,18.45,33.56,127.29,105.16,99.1,83.51,97.65,51.73,93.61,13.71,91.53,36.51,32.25,33.78,28.39,213.28,70.48,343.84,6.41,,65.87,67.29,72.4,102.12,15.19,124.68,26.38,127.09,16.99,4.09,40.99,12.43,279.91,133.01,53.78,19.6,46.2,37.96,14.87,65.87,15.23,42.11,69.24,202.06,156.66,170.7,21.53,199.83,182.28,26.35,21.67,,22.64,11.4,50.7,84.38,104.96,5.64
04/05/2020,93.38,74.81,428.15,86.01,16.57,42.17,237.02,234.65,261.48,82.57,1.46,7.23,276.07,1.12,23.67,263.69,16.64,5.26,272.52,141.94,39.25,69.77,11.84,161.47,45.83,17.89,34.18,127.16,102.84,102.29,82.51,98.19,52.43,91.17,13.56,95.16,37.26,31.35,33.09,27.42,215.49,71.48,349.11,6.25,,65.18,67.02,71.82,99.2,15.16,124.51,27.2,125.19,16.17,4.24,39.9,11.96,282.29,132.99,54.01,19.7,45.73,38.9,14.96,66.14,14.36,41.15,69.27,205.04,153.88,171.27,22.01,202.82,183.74,26.65,21.87,,23.28,11.51,50.54,85.33,107.14,5.84
05/05/2020,92.87,75.34,424.68,88.4,17.08,42.06,241.93,236.99,268.02,83.97,1.44,7.27,285.39,1.15,24.51,268.32,16.71,5.26,277.74,143.37,39.42,72.76,11.61,163.25,47.05,18.18,35.01,129.1,100.73,102.33,82.39,96.92,52.43,89.63,13.6,100.16,37.93,33.4,32.93,28.07,218.8,72.55,356.13,6.21,,66.16,64.08,72.58,100.3,15.56,123.7,27.29,124.88,16.16,4.56,40.17,11.78,285.47,134.09,55.14,19.61,45.94,43.91,15.31,67.45,14.57,42.32,71.06,206.85,152.48,173.49,22.74,206.27,185.47,27.08,21.25,,23.7,11.73,48.57,88.47,107.86,5.74
06/05/2020,90.79,73.67,434.26,87.37,16.69,39.55,233.26,236.37,269.38,85.16,1.37,7.53,279.54,1.27,24.95,266.81,16.18,5.05,273.69,141.46,40.81,72.8,11.36,163.67,48.64,17.42,34.95,130.59,100.55,104,80.84,98.1,50.73,87.43,13.45,126.21,36.76,31.66,32.1,27.82,216.06,73.3,362.52,6.55,,65.4,64.38,69.06,99.16,14.96,122.67,27.63,123.19,16.71,4.27,40.83,11.56,286.37,132.82,54.42,19.08,45.24,46.96,14.96,67.27,13.4,42.67,72.19,208.25,149.63,173.82,23.05,204.73,185.19,26.37,20.85,,23.8,11.19,44.71,87.3,125.75,5.57
07/05/2020,95.15,77.33,436.53,89.33,17.19,36.65,239.25,239.56,274.2,85.28,1.44,7.78,285.55,1.54,29.52,272.71,16.24,5.15,270.12,143.22,40.49,71.78,11.54,169.9,49.36,18.48,35.48,130,105.23,103.8,81.68,96.38,51.15,88.74,13.71,122.66,36.63,31.4,32.5,30.93,214.23,74.06,366.78,6.68,,64.11,66.46,68.93,98.81,15.09,122.28,29.95,122.96,18,4.38,41.86,11.95,282.77,132.38,55.36,19.12,45.19,52.43,15.38,68.46,13.38,44.24,72.16,211.04,155.94,177.65,33.58,209.78,186.23,26.2,20.53,,23.71,11.8,45.72,88.59,109.74,5.59
08/05/2020,94.7,80.42,435.55,89.42,17.68,38.88,243.17,246.08,273.77,87.11,1.52,7.97,287.55,1.85,26.26,276.6,16.74,5.18,272.01,145.09,41.88,71.56,12.06,175.9,51.83,19.81,36.19,126.54,108.81,106.06,83.02,99.13,52.34,91.58,14.15,133.51,36.43,30.95,33.37,32.79,217.07,75.82,367.51,6.75,,64.79,69.27,70.51,103.25,15.38,124.61,31.16,126.77,17.68,4.61,43.87,12.27,283.64,133.38,56.86,19.96,46.34,53.96,15.81,69.22,14,44.6,73.74,212.12,161.74,179.96,34.8,214.33,189.73,27.69,21.09,,25.43,11.47,46.54,89,118.32,5.42
11/05/2020,94.26,80.58,440.52,89.15,18.07,36.7,244.43,246.41,281.07,87.56,1.5,7.94,290.48,1.59,28.12,275.42,16.51,4.92,273.61,143.8,41.08,74.92,11.58,182.67,52.02,18.86,37.08,125.93,107.42,110.04,80.57,98.18,51.81,86.75,13.82,130.82,36.3,30.56,33.03,31.64,216.95,77.02,371.42,6.74,,66.07,67.62,71.37,100.02,14.94,122.27,31.26,124.34,17.7,4.41,42.84,11.87,287.71,133.75,57.51,19.03,45.86,53.59,16.12,70.18,13.73,43.92,73.67,212.95,158.84,178.47,34.32,216.28,188.11,27.77,20.33,,24.69,10.85,44.18,89.55,122.94,5.27
12/05/2020,92.21,74.82,431.82,85.96,17.66,34.71,241.95,240.19,275.05,84.99,1.42,7.47,289.06,1.6,28.79,266.48,16.24,4.69,272.68,141.18,39.34,77.1,11.07,177.54,50.4,18.48,35.66,115.96,104.22,109.32,77.94,92.35,51.93,83.23,13.05,136.93,35.45,28.72,32.29,32.4,210.99,76.14,365.1,6.74,,65.46,64.99,70.09,96.7,14.37,118.74,31.01,118.14,16.95,4.27,41.78,11.19,282.62,131.98,57.07,17.98,45.09,57.85,15.75,68.76,14.83,42.01,71.78,209.88,151.66,174.49,37.1,212.94,186.31,26.19,19.78,,24.05,10.85,43.75,88.07,121,5.18
13/05/2020,90.53,74.02,438.27,84.22,17.35,33.13,239.28,235.45,270.64,82.83,1.2,6.75,284.41,1.89,27.87,263.6,15.79,4.33,263.48,140.03,37.38,75.74,10.5,169.64,49.6,17.2,33.16,116.38,102.59,109.09,75.25,84.81,52.43,78.14,12.31,134.51,35.08,27.36,31.94,33.02,210.5,75.22,358.56,6.35,,66.05,62.01,70.8,96.22,14,114.21,30.2,113.87,15.96,3.96,40.75,10.44,280.11,131.97,55.09,18.1,44.6,57.35,15.48,67.42,14.21,40.83,71.4,204.88,150.07,172.47,36.55,210.38,184.17,25.95,19.13,,22.68,11.09,41.05,88.79,117.73,4.84
