Ticker,Start Date,End Date,Last Action
AAPL,01/07/2020,28/11/2023,Buy
ABBV,27/11/2020,28/11/2023,Buy
ADBE,10/11/2023,29/11/2023,Buy
AMAT,30/08/2023,05/12/2023,Buy
AMT,15/10/2020,20/10/2023,Buy
AOS,17/02/2021,17/11/2023,Buy
AVGO,05/06/2020,04/01/2022,Buy
AWR,14/12/2020,11/10/2023,Sell
BTBT,31/12/2020,10/02/2021,Sell
BYND,17/02/2021,09/08/2023,Sell
CAT,17/02/2021,28/11/2023,Buy
CMCSA,14/01/2021,19/09/2023,Sell
COST,17/02/2021,08/11/2023,Buy
CRM,30/08/2021,06/09/2023,Sell
CRON,17/02/2021,17/02/2021,Sell
CVS,17/02/2021,27/09/2021,Sell
CWEN,08/10/2020,28/11/2023,Buy
CWEN-A,27/12/2021,29/11/2023,Buy
DIS,17/02/2021,03/04/2023,Sell
DLR,22/10/2020,05/12/2023,Buy
ECL,01/02/2021,23/08/2023,Sell
EXPE,29/05/2020,30/01/2023,Sell
EXR,17/02/2021,10/10/2023,Sell
FSLY,30/06/2020,13/04/2021,Buy
GMRE,10/04/2023,01/12/2023,Buy
GOOD,28/08/2020,10/11/2023,Sell
GOOGL,30/06/2020,30/06/2020,Buy
HASI,29/09/2020,09/10/2023,Sell
HD,17/02/2021,17/11/2023,Buy
HI,16/11/2020,07/11/2023,Sell
HON,28/01/2021,23/08/2023,Sell
HRZN,24/06/2021,17/11/2023,Buy
ICE,17/02/2021,29/11/2023,Sell
INTU,10/10/2023,27/11/2023,Buy
JNJ,18/12/2020,23/08/2023,Sell
JPM,11/04/2022,13/10/2023,Sell
LTC,19/11/2020,06/07/2023,Buy
LVGO,09/07/2020,31/07/2020,Buy
MA,14/08/2023,27/11/2023,Buy
MCO,06/11/2023,28/11/2023,Buy
MDT,01/02/2021,08/11/2023,Sell
META,11/05/2020,16/02/2021,Sell
MMM,17/02/2021,23/08/2023,Sell
MRK,14/12/2020,28/04/2022,Buy
MTB,11/04/2022,28/04/2023,Sell
NEE,15/09/2020,06/11/2023,Sell
NET,03/06/2020,14/08/2023,Sell
NFLX,31/07/2020,23/12/2020,Sell
NG,04/05/2020,02/12/2020,Sell
NKE,28/10/2020,27/11/2023,Sell
NLY,14/12/2020,05/07/2023,Sell
NYMT,17/02/2021,05/07/2023,Sell
O,06/11/2020,31/10/2023,Buy
OHI,17/02/2021,05/12/2023,Sell
ONL,13/04/2022,26/04/2022,Sell
PBCT,30/04/2020,05/04/2022,Sell
PETS,24/11/2020,23/08/2023,Sell
PSA,17/02/2021,10/11/2023,Sell
QCOM,30/06/2020,16/11/2023,Sell
RIOT,04/01/2021,06/10/2023,Sell
RITM,17/02/2021,05/07/2023,Sell
SBNY,05/02/2021,30/03/2023,Sell
SCI,19/02/2021,01/12/2023,Sell
SEDG,13/08/2020,09/11/2022,Sell
SICP,16/11/2020,10/03/2023,Sell
SNOW,16/09/2020,22/02/2021,Sell
SPG,20/11/2020,02/10/2023,Sell
SPGI,23/08/2023,17/11/2023,Buy
STOR,06/10/2020,06/02/2023,Sell
STX,17/02/2021,06/09/2023,Sell
T,04/05/2020,25/07/2023,Sell
TGT,17/02/2021,10/10/2023,Buy
UBER,17/02/2021,19/02/2021,Sell
UNH,06/09/2023,01/12/2023,Buy
UNP,17/02/2021,06/11/2023,Sell
V,28/01/2021,29/11/2023,Buy
VICI,05/12/2022,05/12/2023,Buy
VZ,28/01/2021,18/05/2022,Sell
WBD,13/04/2022,13/04/2022,Sell
WELL,18/05/2020,01/08/2023,Buy
WM,14/12/2020,16/10/2023,Sell
WORK,17/02/2021,18/02/2021,Sell
WTRG,25/01/2021,07/11/2023,Sell
